,date,glow-mean,Z,Q,correct_maxRiverWidth
0,2001-08-13,941.6690572239796,100.31,852.5,950.3128471231639
1,2001-08-30,1136.731065529263,101.72,2540.0,998.3567381440923
2,2001-09-14,952.5103944533856,100.63,1150.0,983.1225719666213
3,2002-06-05,769.204968284706,99.46,352.0,771.0240843126389
4,2003-04-21,905.8491388330846,99.79,524.0,880.0029518613209
5,2004-08-22,963.0316682969768,100.78,1450.0,990.1540383328213
6,2005-06-29,993.4961026624624,101.5,2040.0,1003.0432462656543
7,2005-08-09,1162.20329077906,103.2425,4365.0,1090.927663967404
8,2006-07-02,1031.058135512762,101.08,1530.0,1018.2758487315658
9,2006-08-19,1130.2709286545632,102.47,3280.0,1063.9756020535247
10,2007-05-02,1041.6495888421405,100.47,1040.0,929.216416948297
11,2007-07-05,1005.5097816763524,100.12,686.0,805.0012273324116
12,2007-07-14,1007.172966472455,100.42,886.0,875.3120453223753
13,2007-07-30,937.6602595691104,99.86,547.0,790.9396441170339
14,2007-08-22,984.637101393214,100.17,715.0,831.9528954895248
15,2007-08-31,892.8770684380097,99.7,476.0,756.9572010968955
16,2008-05-13,745.891268145618,99.44,387.0,684.3050812567665
17,2008-05-20,811.7129666723109,99.4,370.0,707.7407884919241
18,2008-08-17,989.7987281331074,99.88,592.0,800.3141117167382
19,2009-05-23,969.407471645551,99.92,662.0,797.9701823831051
20,2009-07-26,1138.24517959475,102.79,3060.0,1055.7720078600482
21,2009-08-04,1056.1261512598833,102.02,2140.0,1024.1352439623201
22,2009-09-12,1069.78075057633,101.92,2060.0,1059.2893359009247
23,2010-06-04,1061.35633839385,101.57,1930.0,1053.4307060098827
24,2010-07-29,1047.8176163940786,101.43,1790.0,1034.6802525895366
25,2010-09-08,1143.3144431223366,103.01,3980.0,1044.0565531869952
26,2010-09-15,1147.84893591507,103.195,4292.5,1078.0365037096574
27,2011-06-14,1081.8068638454167,101.88,2510.0,1061.631836166096
28,2011-07-25,1061.35633839385,101.45,2040.0,1042.882845074943
29,2011-08-01,1056.0452541098266,101.28,1860.0,1031.1653601257096
30,2011-08-26,1081.88071557611,101.84,2460.0,973.7482898726446
31,2011-09-02,1071.9804013579635,100.82,1380.0,1017.1038331449704
32,2014-05-30,1130.2709286545632,101.63,2260.0,1055.772901899359
33,2015-09-06,1129.5457682688832,101.48,1980.0,1052.2572728989276
34,2016-08-23,617.3192561122237,99.36,400.0,558.9207402490051
35,2018-05-09,516.8611388387603,99.22,384.0,560.0934537394663
36,2018-07-28,1154.5395520210398,103.24,4350.0,1095.6134066349557
