stationid,date,node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,index_right,COMID
humaqiao,2023-08-06,42272100010491,42272100011,744667574.622,51.66951034,126.6108752,169.92892,0.11015,243.031206,3.855618,5,1,0,0.52607073165,123.0,1,1,0,52700.17578,0.06351,186.41649411,SWOT_L2_HR_RiverSP_Node_001_465_AS_20230806T195754_20230806T200739_PGD0_01.zip,8,42012937
humaqiao,2023-08-06,42272100010501,42272100011,744667574.592,51.6673552,126.6116281,170.07182,0.15509,208.000707,1.593429,7,1,0,0.94486371397,132.5,1,1,0,52735.89453,0.1263,188.72759747,SWOT_L2_HR_RiverSP_Node_001_465_AS_20230806T195754_20230806T200739_PGD0_01.zip,8,42012937
humaqiao,2023-09-17,42272100010491,42272100011,748272985.32,51.66930175,126.6108744,170.16731,0.10055,268.479925,5.41268,0,0,0,0.04942071599,123.0,1,1,0,52388.85547,0.04483,186.41649411,SWOT_L2_HR_RiverSP_Node_003_465_AS_20230917T132805_20230917T133750_PGD0_01.zip,8,42012937
humaqiao,2023-09-17,42272100010501,42272100011,748272985.291,51.66767353,126.6102323,170.33576,0.10327,235.199944,5.165411,0,0,0,0.03339874483,132.5,1,1,0,52403.35156,0.05064,188.72759747,SWOT_L2_HR_RiverSP_Node_003_465_AS_20230917T132805_20230917T133750_PGD0_01.zip,8,42012937
humaqiao,2023-10-08,42272100010481,42272100011,750075686.833,51.67091489,126.6115717,170.57579,0.0959,258.462029,4.988023,0,0,0,0.21861841921,127.0,1,1,0,51664.04688,0.03312,212.98450737,SWOT_L2_HR_RiverSP_Node_004_465_AS_20231008T101306_20231008T102252_PGD0_01.zip,8,42012937
humaqiao,2023-10-08,42272100010491,42272100011,750075686.804,51.6698419,126.6103028,170.66461,0.13839,228.086248,2.481098,5,1,0,0.77772090502,123.0,1,1,0,51682.03906,0.10513,186.41649411,SWOT_L2_HR_RiverSP_Node_004_465_AS_20231008T101306_20231008T102252_PGD0_01.zip,8,42012937
humaqiao,2023-10-08,42272100010501,42272100011,750075686.775,51.66822091,126.6087453,171.29021,0.43344,198.565748,0.640972,2053,1,0,0.97552711202,132.5,1,1,0,51703.76953,0.424,188.72759747,SWOT_L2_HR_RiverSP_Node_004_465_AS_20231008T101306_20231008T102252_PGD0_01.zip,8,42012937
humaqiao,2023-10-13,42272100020011,42272100021,750539966.127,51.66667319,126.6095866,170.66591,0.09366,764.599582,73.486754,802825,2,0,0.0,129.0,1,1,0,4040.0752,0.02591,134.60206931,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,8,42012937
humaqiao,2023-10-18,42272100010481,42272100011,750933820.471,51.67098645,126.611599,170.17436,0.09217,269.978664,7.712614,8,1,0,0.16281851592,127.0,1,1,0,-28967.39062,0.01987,212.98450737,SWOT_L2_HR_RiverSP_Node_005_159_AS_20231018T083543_20231018T084509_PGD0_01.zip,8,42012937
humaqiao,2023-10-18,42272100010491,42272100011,750933820.442,51.66958492,126.6108049,170.32166,0.09362,268.139746,6.790019,0,0,0,0.33980016802,123.0,1,1,0,-28934.89844,0.02579,186.41649411,SWOT_L2_HR_RiverSP_Node_005_159_AS_20231018T083543_20231018T084509_PGD0_01.zip,8,42012937
humaqiao,2023-10-18,42272100010501,42272100011,750933820.414,51.66844623,126.6086557,170.39216,0.11433,210.540206,2.642586,0,0,0,0.92221190461,132.5,1,1,0,-28945.62109,0.07052,188.72759747,SWOT_L2_HR_RiverSP_Node_005_159_AS_20231018T083543_20231018T084509_PGD0_01.zip,8,42012937
humaqiao,2023-10-29,42272100010491,42272100011,751878392.182,51.66951208,126.6111739,169.97769,0.10227,237.066733,4.231559,1,1,1,0.5087896262,123.0,1,1,0,52405.74219,0.04858,186.41649411,SWOT_L2_HR_RiverSP_Node_005_465_AS_20231029T065812_20231029T070757_PGD0_01.zip,8,42012937
humaqiao,2023-10-29,42272100010501,42272100011,751878392.153,51.66860295,126.608931,170.48996,0.73744,192.402006,0.508022,2049,1,1,0.97955170091,132.5,1,1,0,52422.6875,0.73193,188.72759747,SWOT_L2_HR_RiverSP_Node_005_465_AS_20231029T065812_20231029T070757_PGD0_01.zip,8,42012937
humaqiao,2023-11-08,42272100010481,42272100011,752736525.802,51.67095162,126.6118762,169.43923,0.0924,259.7225,7.264238,8,1,1,0.3100562346,127.0,1,1,0,-28586.91211,0.0209,212.98450737,SWOT_L2_HR_RiverSP_Node_006_159_AS_20231108T052049_20231108T053015_PGD0_01.zip,8,42012937
humaqiao,2023-11-08,42272100010491,42272100011,752736525.772,51.66928027,126.6109053,169.71592,0.0931,262.873906,8.445662,0,0,1,0.04607415508,123.0,1,1,0,-28542.48242,0.02382,186.41649411,SWOT_L2_HR_RiverSP_Node_006_159_AS_20231108T052049_20231108T053015_PGD0_01.zip,8,42012937
humaqiao,2023-11-08,42272100010501,42272100011,752736525.744,51.66784148,126.6096721,169.65601,0.09364,252.630187,9.476651,8,1,1,0.05709962199,132.5,1,1,0,-28555.19336,0.02586,188.72759747,SWOT_L2_HR_RiverSP_Node_006_159_AS_20231108T052049_20231108T053015_PGD0_01.zip,8,42012937
humaqiao,2023-11-19,42272100010491,42272100011,753681097.309,51.66914257,126.611717,169.54885,0.10504,283.704779,4.218874,4,1,2,0.45832800117,123.0,1,1,0,52381.17969,0.05416,186.41649411,SWOT_L2_HR_RiverSP_Node_006_465_AS_20231119T034317_20231119T035302_PGD0_01.zip,8,42012937
humaqiao,2023-11-19,42272100010501,42272100011,753681097.28,51.66763605,126.6102888,169.65189,0.10058,276.078656,5.903356,9,1,2,0.07597344889,132.5,1,1,0,52390.91406,0.0449,188.72759747,SWOT_L2_HR_RiverSP_Node_006_465_AS_20231119T034317_20231119T035302_PGD0_01.zip,8,42012937
humaqiao,2023-11-24,42272100020011,42272100021,754145376.767,51.66661884,126.6105817,169.82925,0.09764,1231.843223,221.950225,802817,2,2,0.2368994782,129.0,1,1,0,4133.04688,0.03785,134.60206931,SWOT_L2_HR_RiverSP_Node_007_032_AS_20231124T124819_20231124T125510_PGD0_01.zip,8,42012937
humaqiao,2023-11-29,42272100010481,42272100011,754539231.277,51.67102962,126.6116256,169.71894,0.09735,289.919204,7.718543,0,0,2,0.2474844299,127.0,1,1,0,-28698.9375,0.0371,212.98450737,SWOT_L2_HR_RiverSP_Node_007_159_AS_20231129T020554_20231129T021520_PGD0_01.zip,8,42012937
humaqiao,2023-11-29,42272100010491,42272100011,754539231.247,51.66926474,126.6109868,169.90406,0.09531,284.120371,9.270971,0,0,2,0.05942441551,123.0,1,1,0,-28665.3125,0.03137,186.41649411,SWOT_L2_HR_RiverSP_Node_007_159_AS_20231129T020554_20231129T021520_PGD0_01.zip,8,42012937
humaqiao,2023-11-29,42272100010501,42272100011,754539231.218,51.66769992,126.6102693,169.75628,0.09536,284.478042,9.895596,8,1,2,0.01684487646,132.5,1,1,0,-28657.72461,0.03151,188.72759747,SWOT_L2_HR_RiverSP_Node_007_159_AS_20231129T020554_20231129T021520_PGD0_01.zip,8,42012937
humaqiao,2023-12-10,42272100010491,42272100011,755483802.316,51.66920002,126.611924,169.90914,0.10519,281.717744,3.687081,4,1,2,0.55841420314,123.0,1,1,0,52112.61328,0.05445,186.41649411,SWOT_L2_HR_RiverSP_Node_007_465_AS_20231210T002822_20231210T003807_PGD0_01.zip,8,42012937
humaqiao,2023-12-10,42272100010501,42272100011,755483802.287,51.66749891,126.6107112,169.62125,0.10928,264.017659,5.402683,0,0,2,0.2992102851,132.5,1,1,0,52127.82031,0.06199,188.72759747,SWOT_L2_HR_RiverSP_Node_007_465_AS_20231210T002822_20231210T003807_PGD0_01.zip,8,42012937
humaqiao,2023-12-19,42272100010481,42272100011,756341934.91,51.67101073,126.6118028,169.66125,0.09344,263.522452,7.899304,8,1,2,0.28298326296,127.0,1,1,0,-29264.40234,0.02513,212.98450737,SWOT_L2_HR_RiverSP_Node_008_159_AS_20231219T225058_20231219T230024_PGD0_01.zip,8,42012937
humaqiao,2023-12-19,42272100010491,42272100011,756341934.881,51.66919448,126.6111704,169.62983,0.09409,279.129101,8.860123,0,0,2,0.07626442718,123.0,1,1,0,-29213.88477,0.02745,186.41649411,SWOT_L2_HR_RiverSP_Node_008_159_AS_20231219T225058_20231219T230024_PGD0_01.zip,8,42012937
humaqiao,2023-12-19,42272100010501,42272100011,756341934.851,51.66763873,126.6102156,169.61472,0.09531,326.040438,9.164512,0,0,2,0.0,132.5,1,1,0,-29216.69531,0.03138,188.72759747,SWOT_L2_HR_RiverSP_Node_008_159_AS_20231219T225058_20231219T230024_PGD0_01.zip,8,42012937
humaqiao,2023-12-30,42272100010491,42272100011,757286508.414,51.66920534,126.6122801,169.68178,0.14012,281.601686,3.978766,4,1,2,0.70700542292,123.0,1,1,0,52357.73438,0.1074,186.41649411,SWOT_L2_HR_RiverSP_Node_008_465_AS_20231230T211328_20231230T212313_PGD0_01.zip,8,42012937
humaqiao,2023-12-30,42272100010501,42272100011,757286508.386,51.66736846,126.6112394,169.23227,0.13724,249.349708,4.609609,4,1,2,0.54159802928,132.5,1,1,0,52386.99609,0.10361,188.72759747,SWOT_L2_HR_RiverSP_Node_008_465_AS_20231230T211328_20231230T212313_PGD0_01.zip,8,42012937
humaqiao,2024-01-09,42272100010481,42272100011,758144640.723,51.67094909,126.6117012,169.77445,0.09867,255.160535,7.962605,8,1,2,0.34382238248,127.0,1,1,0,-29039.70312,0.04044,212.98450737,SWOT_L2_HR_RiverSP_Node_009_159_AS_20240109T193603_20240109T194530_PGD0_01.zip,8,42012937
humaqiao,2024-01-09,42272100010491,42272100011,758144640.693,51.66923982,126.6111425,169.69256,0.09644,273.616117,8.914038,8,1,2,0.0522798754,123.0,1,1,0,-28985.16016,0.03466,186.41649411,SWOT_L2_HR_RiverSP_Node_009_159_AS_20240109T193603_20240109T194530_PGD0_01.zip,8,42012937
humaqiao,2024-01-09,42272100010501,42272100011,758144640.664,51.66761602,126.6106119,169.45747,0.0986,282.662219,9.621373,8,1,2,0.0,132.5,1,1,0,-28981.49609,0.04028,188.72759747,SWOT_L2_HR_RiverSP_Node_009_159_AS_20240109T193603_20240109T194530_PGD0_01.zip,8,42012937
humaqiao,2024-01-20,42272100010481,42272100011,759089213.709,51.67101811,126.6107164,170.08593,0.11676,226.10961,4.480638,12,1,2,0.65740246251,127.0,1,1,0,52384.69531,0.07439,212.98450737,SWOT_L2_HR_RiverSP_Node_009_465_AS_20240120T175833_20240120T180818_PGD0_01.zip,8,42012937
humaqiao,2024-01-20,42272100010491,42272100011,759089213.679,51.66905328,126.6124036,169.91066,0.16348,271.609974,4.271508,4,1,2,0.7665751183,123.0,1,1,0,52423.42188,0.13648,186.41649411,SWOT_L2_HR_RiverSP_Node_009_465_AS_20240120T175833_20240120T180818_PGD0_01.zip,8,42012937
humaqiao,2024-01-20,42272100010501,42272100011,759089213.65,51.66729675,126.6114383,169.87994,0.14315,275.76333,4.723408,13,1,2,0.59373819838,132.5,1,1,0,52454.46094,0.11132,188.72759747,SWOT_L2_HR_RiverSP_Node_009_465_AS_20240120T175833_20240120T180818_PGD0_01.zip,8,42012937
humaqiao,2024-01-26,42272100020011,42272100021,759553492.827,51.66754726,126.6104771,170.73741,0.13565,600.817173,35.994902,280581,2,2,0.70909496915,129.0,1,1,0,4325.41602,0.10149,134.60206931,SWOT_L2_HR_RiverSP_Node_010_032_AS_20240126T030335_20240126T031026_PGD0_01.zip,8,42012937
humaqiao,2024-01-30,42272100010481,42272100011,759947346.93,51.67106197,126.6115748,170.30197,0.09883,255.640591,9.021856,8,1,2,0.18131416737,127.0,1,1,0,-28790.7207,0.04084,212.98450737,SWOT_L2_HR_RiverSP_Node_010_159_AS_20240130T162110_20240130T163036_PGD0_01.zip,8,42012937
humaqiao,2024-01-30,42272100010491,42272100011,759947346.9,51.66931605,126.6107739,169.93777,0.09851,281.460358,8.834352,0,0,2,0.0,123.0,1,1,0,-28741.40625,0.04005,186.41649411,SWOT_L2_HR_RiverSP_Node_010_159_AS_20240130T162110_20240130T163036_PGD0_01.zip,8,42012937
humaqiao,2024-01-30,42272100010501,42272100011,759947346.872,51.66774557,126.6104849,169.56471,0.09997,269.712211,9.290151,8388620,3,2,0.0,132.5,1,1,0,-28728.77148,0.04352,188.72759747,SWOT_L2_HR_RiverSP_Node_010_159_AS_20240130T162110_20240130T163036_PGD0_01.zip,8,42012937
humaqiao,2024-02-10,42272100010491,42272100011,760891918.149,51.66914444,126.6123977,169.32403,0.20358,268.599706,4.113119,6,1,2,0.82481809453,123.0,1,1,0,52111.37891,0.1826,186.41649411,SWOT_L2_HR_RiverSP_Node_010_465_AS_20240210T144337_20240210T145323_PGD0_01.zip,8,42012937
humaqiao,2024-02-10,42272100010501,42272100011,760891918.121,51.66737754,126.6116055,169.21847,0.17458,253.007872,4.857211,7,1,2,0.69275136657,132.5,1,1,0,52149.58594,0.1496,188.72759747,SWOT_L2_HR_RiverSP_Node_010_465_AS_20240210T144337_20240210T145323_PGD0_01.zip,8,42012937
humaqiao,2024-02-10,42272100010511,42272100011,760891918.09,51.6661055,126.6106019,169.17753,0.2218,183.17333,2.948068,12,1,2,0.80204654391,150.0,1,1,0,52130.30859,0.20271,242.04070683,SWOT_L2_HR_RiverSP_Node_010_465_AS_20240210T144337_20240210T145323_PGD0_01.zip,8,42012937
humaqiao,2024-04-02,42272100010481,42272100011,765355458.993,51.6708926,126.6121988,169.70356,0.10735,198.061202,5.509992,0,0,1,0.46942833515,127.0,1,1,0,-28683.67578,0.05852,212.98450737,SWOT_L2_HR_RiverSP_Node_013_159_AS_20240402T063616_20240402T064548_PGD0_01.zip,8,42012937
humaqiao,2024-04-02,42272100010491,42272100011,765355458.965,51.66926134,126.6108251,170.02813,0.09815,264.639032,8.214589,9,1,1,0.08209655181,123.0,1,1,0,-28663.87305,0.03916,186.41649411,SWOT_L2_HR_RiverSP_Node_013_159_AS_20240402T063616_20240402T064548_PGD0_01.zip,8,42012937
humaqiao,2024-04-02,42272100010501,42272100011,765355458.936,51.66776973,126.6102559,170.22745,0.10124,252.464732,8.734053,8,1,1,0.0,132.5,1,1,0,-28646.41797,0.04636,188.72759747,SWOT_L2_HR_RiverSP_Node_013_159_AS_20240402T063616_20240402T064548_PGD0_01.zip,8,42012937
humaqiao,2024-04-13,42272100010491,42272100011,766300031.984,51.669165,126.6114944,169.92624,0.10712,279.830047,4.529861,1,1,1,0.34287719522,123.0,1,1,0,52846.32422,0.05809,186.41649411,SWOT_L2_HR_RiverSP_Node_013_465_AS_20240413T045845_20240413T050837_PGD0_01.zip,8,42012937
humaqiao,2024-04-13,42272100010501,42272100011,766300031.955,51.6676337,126.6102062,170.22001,0.11311,265.62938,6.170836,0,0,1,0.0440104028,132.5,1,1,0,52843.00781,0.06851,188.72759747,SWOT_L2_HR_RiverSP_Node_013_465_AS_20240413T045845_20240413T050837_PGD0_01.zip,8,42012937
humaqiao,2024-04-23,42272100010491,42272100011,767158165.253,51.66929019,126.6109068,170.16827,0.0918,310.134993,9.062397,0,0,0,0.02361605574,123.0,1,1,0,-28315.61328,0.0181,186.41649411,SWOT_L2_HR_RiverSP_Node_014_159_AS_20240423T032123_20240423T033054_PGD0_01.zip,8,42012937
humaqiao,2024-04-23,42272100010501,42272100011,767158165.224,51.66777352,126.6099455,170.333,0.09418,245.148417,8.501228,0,0,0,0.09876178218,132.5,1,1,0,-28286.75781,0.02774,188.72759747,SWOT_L2_HR_RiverSP_Node_014_159_AS_20240423T032123_20240423T033054_PGD0_01.zip,8,42012937
humaqiao,2024-05-04,42272100010481,42272100011,768102734.939,51.67093891,126.6119383,170.50662,0.09783,256.290514,4.521459,4,1,0,0.31902788619,127.0,1,1,1,52030.875,0.03834,212.98450737,SWOT_L2_HR_RiverSP_Node_014_465_AS_20240504T014354_20240504T015340_PGD0_01.zip,8,42012937
humaqiao,2024-05-04,42272100010491,42272100011,768102734.91,51.66971657,126.6101929,170.68525,0.1065,223.869598,4.029119,5,1,0,0.48832809636,123.0,1,1,1,52042.26562,0.05694,186.41649411,SWOT_L2_HR_RiverSP_Node_014_465_AS_20240504T014354_20240504T015340_PGD0_01.zip,8,42012937
humaqiao,2024-05-04,42272100010501,42272100011,768102734.881,51.66835826,126.608819,170.70809,0.16442,209.703187,1.393298,5,1,0,0.92922228137,132.5,1,1,1,52055.70703,0.1376,188.72759747,SWOT_L2_HR_RiverSP_Node_014_465_AS_20240504T014354_20240504T015340_PGD0_01.zip,8,42012937
humaqiao,2024-05-14,42272100010491,42272100011,768960869.213,51.66928975,126.6107377,170.17019,0.09285,300.716381,8.619151,0,0,0,0.03190987777,123.0,1,1,0,-28835.01758,0.02283,186.41649411,SWOT_L2_HR_RiverSP_Node_015_159_AS_20240514T000632_20240514T001558_PGD0_01.zip,8,42012937
humaqiao,2024-05-14,42272100010501,42272100011,768960869.184,51.66768395,126.6102718,170.29096,0.09396,264.809968,8.54386,0,0,0,0.0,132.5,1,1,0,-28806.21094,0.02697,188.72759747,SWOT_L2_HR_RiverSP_Node_015_159_AS_20240514T000632_20240514T001558_PGD0_01.zip,8,42012937
humaqiao,2024-05-24,42272100010481,42272100011,769905439.833,51.67095106,126.6113307,169.15928,0.09749,245.762606,4.822657,524291,2,0,0.2240365113,127.0,1,1,2,51895.78516,0.03749,212.98450737,SWOT_L2_HR_RiverSP_Node_015_465_AS_20240524T222859_20240524T223845_PGD0_01.zip,8,42012937
humaqiao,2024-05-24,42272100010491,42272100011,769905439.804,51.66989191,126.6099231,169.36064,0.11977,239.121505,2.80705,524291,2,0,0.77710049301,123.0,1,1,2,51923.54297,0.07903,186.41649411,SWOT_L2_HR_RiverSP_Node_015_465_AS_20240524T222859_20240524T223845_PGD0_01.zip,8,42012937
humaqiao,2024-05-24,42272100010501,42272100011,769905439.775,51.66818599,126.6083735,169.04524,0.31567,195.970085,0.843595,524291,2,0,0.95633940887,132.5,1,1,2,51944.64844,0.30257,188.72759747,SWOT_L2_HR_RiverSP_Node_015_465_AS_20240524T222859_20240524T223845_PGD0_01.zip,8,42012937
humaqiao,2025-05-03,42272100010481,42272100011,799606838.482,51.67097421,126.6111443,170.88424,0.09196,298.308091,8.302703,4,1,0,0.03529693296,127.0,1,1,1,-28802.44141,0.01889,212.97058926,SWOT_L2_HR_RiverSP_Node_032_159_AS_20250503T165251_20250503T170217_PIC2_01.zip,8,42012937
humaqiao,2025-05-03,42272100010491,42272100011,799606838.478,51.66929706,126.6108049,171.13472,0.09227,303.686639,8.888729,12,1,0,0.0,123.0,1,1,1,-28759.53711,0.02035,188.12121071,SWOT_L2_HR_RiverSP_Node_032_159_AS_20250503T165251_20250503T170217_PIC2_01.zip,8,42012937
humaqiao,2025-05-03,42272100010501,42272100011,799606838.473,51.66770851,126.6103556,171.21321,0.09252,306.779514,8.784947,4,1,0,0.0,132.5,1,1,1,-28735.61914,0.02146,186.99845465,SWOT_L2_HR_RiverSP_Node_032_159_AS_20250503T165251_20250503T170217_PIC2_01.zip,8,42012937
humaqiao,2025-05-14,42272100010481,42272100011,800551420.407,51.6709742,126.6114064,170.8719,0.09534,259.983182,4.836265,0,0,0,0.16596482886,127.0,1,1,0,52212.81641,0.03146,212.98450737,SWOT_L2_HR_RiverSP_Node_032_465_AS_20250514T151520_20250514T152505_PID0_01.zip,8,42012937
humaqiao,2025-05-14,42272100010491,42272100011,800551420.377,51.66978589,126.6091549,171.10427,0.13633,225.851403,2.273904,5,1,0,0.83699272124,123.0,1,1,0,52221.38672,0.1024,186.41649411,SWOT_L2_HR_RiverSP_Node_032_465_AS_20250514T151520_20250514T152505_PID0_01.zip,8,42012937
humaqiao,2025-05-14,42272100010501,42272100011,800551420.348,51.66722604,126.6096513,171.28944,0.13422,202.786032,2.517545,4,1,0,0.63530552344,132.5,1,1,0,52246.36328,0.09957,188.72759747,SWOT_L2_HR_RiverSP_Node_032_465_AS_20250514T151520_20250514T152505_PID0_01.zip,8,42012937
