stationid,COMID,distance,lon,lat
Australia_108002,56010412,0.00204667752439117,145.2819,-16.1788
Australia_112101,56016581,0.0001414213562470285,145.9791,-17.6089
Australia_116006,56024497,0.0033333333333196435,145.92,-18.49
Australia_121001,56034138,0.0011785113020267505,148.1158,-20.2917
Australia_121003,56033935,0.00424918292796504,148.15,-20.15
Australia_204007,56121544,0.0034359213546308674,152.68,-29.51
Australia_207004,56140815,0.00029999999998153726,152.4697,-31.4241
Australia_208004,56145405,0.001666666666700678,152.31,-31.92
Australia_312159,56171451,4.714045207061948e-05,145.0767,-41.1233
Australia_424201,56114614,0.0007695597586741346,144.7859,-28.6891
Australia_709005,56038547,0.0015538482694404936,118.2996,-20.7016
Australia_710003,56033271,0.002875567576840363,119.24899999999998,-20.3114
Australia_802055,56024576,0.0006599663291368894,125.5263,-18.2963
Australia_802137,56020343,0.0002666666666613082,126.02639999999998,-17.6819
Australia_802202,56020472,0.0013000000000289449,126.3113,-18.0188
Australia_804002,56013101,0.0006599663291167922,125.0588,-16.3912
Australia_806001,56005623,0.00032998316455714005,125.7388,-14.95
Australia_806006,56005585,0.0011999999999972033,126.20869999999998,-14.79
Australia_808001,56010355,7.071067813858712e-05,127.1763,-16.3188
Australia_809316,56016572,1.7585018766877527e-14,128.8537,-17.3738
Australia_814001,56005386,2.893994557302841e-14,132.2567,-14.4633
Australia_818035,56000917,0.000866666666695437,131.6467,-12.9067
Australia_821010,56001061,7.536436614376084e-15,133.3323,-12.717300000000002
Australia_919003,56013371,0.00033333333334795157,144.2905,-16.472
Australia_927001,56000042,0.0023570226039392483,142.3533,-11.1533
Brazil_10200000,62058691,0.001510334767916352,-72.8136,-5.1389
Brazil_10300000,62053267,0.0014670454056514072,-71.4003,-4.5397
Brazil_10500000,62053195,0.0010666666666736546,-70.9056,-4.3408
Brazil_10800000,62058302,0.0012020815279967442,-70.3,-4.7333
Brazil_10910000,62053265,0.002121320343563466,-70.2644,-4.5836
Brazil_11450000,62042897,0.004223873945935479,-69.5228,-2.9417
Brazil_12150000,62058442,0.0016333333333191649,-68.6633,-4.8967
Brazil_12180000,62058649,0.0008333333333192529,-68.1353,-4.745
Brazil_12200000,62053280,0.0013999999999878554,-67.8925,-4.2211
Brazil_12230000,62053590,0.0009192388155190162,-67.3444,-4.3256
Brazil_12240000,62042994,0.004741307836442365,-67.4917,-3.3372
Brazil_12360000,62099458,0.00018856180830257517,-72.7158,-9.4097
Brazil_12370000,62094293,0.00023570226038650895,-72.7844,-8.9458
Brazil_12390000,62089320,0.0010999999999938836,-72.7411,-8.2672
Brazil_12500000,62084331,0.00023570226038198706,-72.6603,-7.6333
Brazil_12510000,62084874,0.0009428090415631185,-72.0547,-7.8492
Brazil_12520000,62079212,0.001066666666650562,-71.6892,-7.0556
Brazil_12530000,62085205,0.0005333333333368273,-71.4822,-7.9511
Brazil_12540000,62079416,0.004469277843719585,-70.9833,-7.2667
Brazil_12550000,62074137,0.00106666666668076,-69.8811,-6.6844
Brazil_12560000,62089297,0.0009899494936827246,-71.5517,-8.6181
Brazil_12600001,62089269,0.0008666666666510281,-70.7153,-8.1458
Brazil_12650000,62089415,0.0009663792676449028,-70.3564,-8.1636
Brazil_12700000,62074009,0.001956328761285549,-68.24609999999998,-6.4403
Brazil_12840000,62058112,0.00018856180833146482,-66.8506,-4.8392
