stationid,COMID,q50,q50_weighted,slp,slope
Australia_108002,56010412,6.8210015,15.12094497680664,,0.000310077094
Australia_116006,56024497,18.211422,26.516337871551514,,0.000417199496
Australia_121001,56034138,0.19426623,0.40040672942996025,,0.00253163626
Australia_121003,56033935,0.29623884,0.43086889386177063,,0.001180881935
Australia_204007,56121544,54.13491,50.64915511187385,,0.000353426826
Australia_207004,56140815,4.5207515,6.520544767379761,,0.000147955226
Australia_208004,56145405,11.772208,11.031454351213243,,0.001129626574
Australia_710003,56033271,3.8630574,3.982306469570507,,0.000758612123
Australia_802055,56024576,5.144595,2.4009908263276265,,0.000445192561
Australia_806001,56005623,3.912894,1.70572627993191,,0.003734471189
Australia_809316,56016572,0.7758838,0.7257455587387085,,0.000922773724
Australia_818035,56000917,4.9437957,2.4458690990101206,,0.000243335592
Australia_821010,56001061,2.9302392,82.1358642578125,,0.002563785302
Brazil_10200000,62058691,530.7239,375.56119948167066,,0.000202821837
Brazil_10300000,62053267,913.22046,608.9774322509766,,0.000336955128435
Brazil_10500000,62053195,2249.419,1470.7903866975205,,5.9299020784e-05
Brazil_10800000,62058302,740.85693,480.6238189697266,,8.1187078256e-05
Brazil_10910000,62053265,1440.51,1014.9663807262074,,0.000412266039
Brazil_11450000,62042897,5688.6885,5397.2991129557295,,0.00044063893941
Brazil_12150000,62058442,765.29926,438.98390197753906,,0.000106527973024
Brazil_12180000,62058649,550.3725,316.5083292643229,,3.8559443e-05
Brazil_12200000,62053280,1568.438,927.7284313383557,,2.0597653e-05
Brazil_12230000,62053590,419.87897,269.84528126436123,,6.6562903471e-05
Brazil_12240000,62042994,2783.7761,1757.97603225708,,1.1830801e-05
Brazil_12370000,62094293,229.66225,93.14278057643345,,0.000250179429
Brazil_12390000,62089320,332.87372,137.83299598693847,,7.8592668e-05
Brazil_12500000,62084331,808.91394,416.9965454101563,,6.7262309e-05
Brazil_12520000,62079212,1392.7909,756.3527679443359,,0.000238394083531
Brazil_12540000,62079416,159.86089,78.39902793036566,,0.000102469397
Brazil_12550000,62074137,2264.7688,1248.817315284242,,0.000349575159387
Brazil_12560000,62089297,83.14441,31.31024589538574,,0.000157589171
Brazil_12600001,62089269,301.35745,108.35795875831887,,0.000209375094177
Brazil_12650000,62089415,315.1612,111.3635205078125,,0.000229665618
Brazil_12700000,62074009,4268.3774,2171.8335282175162,,0.001170006717905
Brazil_12880000,62053595,543.4914,368.53644943237305,,0.00010644870684
Brazil_13170000,62099247,333.37592,159.92623219591505,,1.5356023e-05
Brazil_13180000,62094332,645.9344,241.80321443997897,,3.7634518e-05
Brazil_13310000,62094236,291.2144,169.3784962972005,,3.4864549e-05
Brazil_13410000,62094232,1255.1705,439.0715026855469,,2.7042174e-05
Brazil_13650000,62094046,564.4841,204.1709713935852,,0.000706770247871
Brazil_13710001,62089142,1992.4865,715.9803771972656,,0.000350111543108
Brazil_13740000,62084402,1018.1213,465.16941236413044,,0.000501801314027
Brazil_13750000,62084164,3832.5706,1473.0969215675636,,0.000137568555
Brazil_13848000,62094091,303.37518,147.69905804049583,,0.0
Brazil_13849000,62094090,312.2202,155.74484252929688,,7.8622260562e-05
Brazil_13870000,62079047,5741.48,2329.3070755004883,,5.2623677e-05
Brazil_13880000,62073941,6067.272,3177.516043526786,,0.00015727782248
Brazil_13886000,62068760,1497.0721,826.2330345740685,,0.000134278781601
Brazil_14110000,62008904,3506.1216,2897.87255859375,,0.000425188571949
Brazil_14230000,62008947,1262.4462,1077.647007533482,,6.1652412e-05
Brazil_14250000,62012902,6112.4526,5655.10009765625,,0.001160440142745
Brazil_14260000,62013055,1887.8251,1605.7621704101562,,6.3484183e-05
Brazil_14325000,62017832,579.38354,479.5780508858817,,0.000486448683467
Brazil_14350000,62017799,698.73865,595.90576171875,,7.1343e-06
Brazil_14440000,62008994,256.01038,217.99829149246216,,0.000235996032
Brazil_14450000,62017666,316.8135,313.812931060791,,0.000162803159
Brazil_14488000,62001124,667.12775,603.970048904419,,8.4895572e-05
Brazil_14495000,62001073,1040.2891,932.9111099243164,,0.000199289727
Brazil_14500000,62001070,1128.5923,1028.9721984863281,,0.000301450635856
Brazil_14515000,62001061,1153.1498,1018.4488525390625,,0.00270287258802
Brazil_14526000,62001147,58.534866,94.62553242274693,,0.0
Brazil_14540000,62000129,42.155983,37.695745692533606,,0.001590348569
Brazil_14550000,62000401,52.60772,44.03469871072208,,0.000245765052
Brazil_14650000,62002023,187.53227,160.5334527151925,,0.000207843323
Brazil_14680001,62002009,222.64569,197.73050537109376,,0.000326748041
