stationid,COMID,q50,q50_weighted,slope
Australia_108002,56010412,6.8210015,17.30355707804362,0.000310077094
Australia_116006,56024497,18.211422,30.49012804031372,0.000417199496
Australia_121001,56034138,0.19426623,0.38954269886016846,0.00253163626
Australia_121003,56033935,0.29623884,0.4888647496700287,0.001180881935
Australia_204007,56121544,54.13491,50.69878493414985,0.000353426826
Australia_207004,56140815,4.5207515,6.520544767379761,0.000147955226
Australia_208004,56145405,11.772208,10.95780906677246,0.001129626574
Australia_710003,56033271,3.8630574,4.054990373006681,0.000758612123
Australia_802055,56024576,5.144595,2.722298578782515,0.000445192561
Australia_806001,56005623,3.912894,1.70572627993191,0.003734471189
Australia_809316,56016572,0.7758838,0.8811710603096906,0.000922773724
Australia_818035,56000917,4.9437957,2.4229734160683374,0.000243335592
Australia_821010,56001061,2.9302392,82.1358642578125,0.002563785302
Brazil_10200000,62058691,530.7239,376.5547616141183,0.000202821837
Brazil_10300000,62053267,913.22046,603.0134164910568,0.000336955128435
Brazil_10500000,62053195,2249.419,1464.7954165810033,5.9299020784e-05
Brazil_10800000,62058302,740.85693,477.20093328302556,8.1187078256e-05
Brazil_10910000,62053265,1440.51,998.753945090554,0.000412266039
Brazil_11450000,62042897,5688.6885,5356.291015625,0.00044063893941
Brazil_12150000,62058442,765.29926,436.89952286430025,0.000106527973024
Brazil_12180000,62058649,550.3725,314.13345923790564,3.8559443e-05
Brazil_12200000,62053280,1568.438,922.1714982252854,2.0597653e-05
Brazil_12230000,62053590,419.87897,269.8633452384703,6.6562903471e-05
Brazil_12240000,62042994,2783.7761,1757.97603225708,1.1830801e-05
Brazil_12370000,62094293,229.66225,93.20257628365849,0.000250179429
Brazil_12390000,62089320,332.87372,136.89307651963344,7.8592668e-05
Brazil_12500000,62084331,808.91394,408.7001609802246,6.7262309e-05
Brazil_12520000,62079212,1392.7909,752.7079772949219,0.000238394083531
Brazil_12540000,62079416,159.86089,78.71571150280181,0.000102469397
Brazil_12550000,62074137,2264.7688,1235.0080050998263,0.000349575159387
Brazil_12560000,62089297,83.14441,30.40981056441122,0.000157589171
Brazil_12600001,62089269,301.35745,108.55253631591796,0.000209375094177
Brazil_12650000,62089415,315.1612,110.58348902260384,0.000229665618
Brazil_12700000,62074009,4268.3774,2196.5076423705095,0.001170006717905
Brazil_12880000,62053595,543.4914,367.519287109375,0.00010644870684
Brazil_13170000,62099247,333.37592,158.67603596774015,1.5356023e-05
Brazil_13180000,62094332,645.9344,240.91080169677736,3.7634518e-05
Brazil_13310000,62094236,291.2144,166.9513966878255,3.4864549e-05
Brazil_13410000,62094232,1255.1705,426.9759604714134,2.7042174e-05
Brazil_13650000,62094046,564.4841,203.1575261330118,0.000706770247871
Brazil_13710001,62089142,1992.4865,728.9890833440817,0.000350111543108
Brazil_13740000,62084402,1018.1213,448.41940139938185,0.000501801314027
Brazil_13750000,62084164,3832.5706,1425.8275771484375,0.000137568555
Brazil_13848000,62094091,303.37518,145.01337640935725,0.0
Brazil_13849000,62094090,312.2202,160.17128329806857,7.8622260562e-05
Brazil_13870000,62079047,5741.48,2243.655712890625,5.2623677e-05
Brazil_13880000,62073941,6067.272,3136.97021484375,0.00015727782248
Brazil_13886000,62068760,1497.0721,811.256178320908,0.000134278781601
Brazil_14110000,62008904,3506.1216,2871.1572265625,0.000425188571949
Brazil_14230000,62008947,1262.4462,1100.1390279134114,6.1652412e-05
Brazil_14250000,62012902,6112.4526,5602.275830078125,0.001160440142745
Brazil_14260000,62013055,1887.8251,1599.9129028320312,6.3484183e-05
Brazil_14325000,62017832,579.38354,482.6391194661458,0.000486448683467
Brazil_14350000,62017799,698.73865,606.2142056551846,7.1343e-06
Brazil_14440000,62008994,256.01038,220.25049209594727,0.000235996032
Brazil_14450000,62017666,316.8135,316.0695175170898,0.000162803159
Brazil_14488000,62001124,667.12775,603.6197916666666,8.4895572e-05
Brazil_14495000,62001073,1040.2891,929.7663930257162,0.000199289727
Brazil_14500000,62001070,1128.5923,1023.6319550544985,0.000301450635856
Brazil_14515000,62001061,1153.1498,1025.0283610026042,0.00270287258802
Brazil_14526000,62001147,58.534866,95.38536027761606,0.0
