COMID,q50
81000001,0.007953815
81000002,0.0039958535
81000003,0.0033202018
81000004,10.20739
81000005,7.7970357
81000006,7.5410147
81000007,7.2785993
81000008,0.004259663
81000009,0.0020445879
81000010,0.00033662844
81000011,0.49960038
81000012,0.4700815
81000013,0.44140333
81000014,0.42285058
81000015,0.410923
81000016,0.04991728
81000017,0.3406891
81000018,0.046355486
81000019,0.2548296
81000020,0.06882013
81000021,0.038853846
81000022,0.03127618
81000023,0.02723492
81000024,0.014793218
81000025,0.010827407
81000026,3.7230326e-05
81000027,3.6062655e-05
81000028,0.11905985
81000029,0.048662357
81000030,0.056825496
81000031,0.098370455
81000032,0.028635025
81000033,0.070919484
81000034,0.023991756
81000035,0.014377303
81000036,0.05564363
81000037,0.02806942
81000038,0.0050550285
81000039,0.012515558
81000040,0.015786167
81000041,0.0051067425
81000042,0.012433884
81000043,0.004735235
81000044,0.0073245233
81000045,0.0038727939
81000046,0.011004985
81000047,0.0057832487
81000048,0.01137674
81000049,0.0037994212
81000050,0.011991276
81000051,0.002666669
81000052,0.010823916
81000053,0.013107208
81000054,0.023406899
81000055,0.016043121
81000056,0.008678356
81000057,0.005774057
81000058,0.01376695
81000059,0.01629172
81000060,0.01047911
81000061,0.052825637
81000062,0.0006998009
81000063,0.019703515
81000064,0.0023481695
81000065,0.022758106
81000066,0.0063234577
81000067,0.006584095
81000068,0.016928375
81000069,153.79123
81000070,10.058052
81000071,9.567524
81000072,9.408841
81000073,9.19761
81000074,0.23054047
81000075,0.030763095
81000076,5.503524
81000077,5.3061466
81000078,5.20811
81000079,4.3353276
81000080,4.15031
81000081,8.506099
81000082,7.0552325
81000083,6.6263404
81000084,6.5557637
81000085,6.4105353
81000086,6.3512506
81000087,6.158758
81000088,6.061035
81000089,5.8789215
81000090,5.7439117
81000091,4.7066193
81000092,2.932471
81000093,0.5869474
81000094,0.5616397
81000095,0.46758687
81000096,0.40720809
81000097,0.3852911
81000098,1.3300604
81000099,0.09714553
81000100,0.048542842
81000101,0.012043988
81000102,2.1807785
81000103,1.940419
81000104,1.7891629
81000105,1.5084212
81000106,1.4322852
81000107,1.12095
81000108,0.9960561
81000109,0.8953898
81000110,0.8249187
81000111,0.16022739
81000112,0.23833752
81000113,0.112088695
81000114,0.14662366
81000115,0.062324207
81000116,0.10267099
81000117,0.071440324
81000118,0.050320223
81000119,0.035296757
81000120,0.062585235
81000121,1.7585621
81000122,1.7223239
81000123,1.6008375
81000124,0.13544564
81000125,1.5546919
81000126,0.11932132
81000127,0.07611127
81000128,1.5246273
81000129,0.14148879
81000130,0.049269408
81000131,0.11868635
81000132,1.0663756
81000133,1.3252243
81000134,0.10287996
81000135,0.018616388
81000136,0.05713371
81000137,0.41421428
81000138,0.32382637
81000139,0.28630155
81000140,0.18226762
81000141,0.25008693
81000142,0.120721444
81000143,0.08490484
81000144,0.15548734
81000145,0.034979746
81000146,0.12311114
81000147,0.30705246
81000148,0.085578516
81000149,0.29482496
81000150,0.019505225
81000151,0.024139214
81000152,0.03905964
81000153,0.5263072
81000154,0.03847943
81000155,0.012746333
81000156,0.25783157
81000157,0.021996602
81000158,0.016423369
81000159,0.037554115
81000160,0.0054677036
81000161,0.018203918
81000162,0.005287643
81000163,0.03043657
81000164,0.010506925
81000165,0.0104406085
81000166,0.025564162
81000167,0.0055950712
81000168,0.021795835
