,COMID,slope,ID,glow_lat,glow_lon,stationid,gage_lat,gage_lon,distance,COMID-mean,q50
0,71000743,0.000355001361,R71000743XS0017219,58.891666666742246,-96.27247587573156,Canada_06GD001,58.89128875732422,-96.27668762207033,13445815.580607813,411.9227869703035,220.87321
1,71001770,0.0,R71001770XS0031961,58.145857480158455,-98.22580918711516,GRDC_4214106,58.1479,-98.2312,13525774.152531084,128.80551581043943,60.091297
2,71003592,0.000195570705,R71003592XS0062081,56.95000000061152,-95.74222732382697,Canada_06FC001,56.952919006347656,-95.73925018310548,13156122.39952956,276.1686053960814,29.845644
3,71005241,0.000246638522,R71005241XS0085762,56.43333333397516,-92.79529711006764,GRDC_4214025,56.4354,-92.7937,12830000.945534708,366.36915503394994,531.001
4,71005241,0.000246638522,R71005241XS0085763,56.43202146826794,-92.79714520355974,GRDC_4214025,56.4354,-92.7937,12830000.945534708,366.36915503394994,531.001
5,71008705,0.000295008068,R71008705XS0123646,55.373999498422776,-88.32516717162562,GRDC_4214440,55.3729,-88.3229,12305506.638987144,416.630449810062,624.19275
6,71008705,0.000295008068,R71008705XS0123647,55.37333333375942,-88.32651390453607,GRDC_4214440,55.3729,-88.3229,12305506.638987144,416.630449810062,624.19275
7,71009963,0.000525058997,R71009963XS0139076,55.02687454288412,-93.8343745390803,GRDC_4214350,55.0271,-93.83540000000002,12761723.558030408,236.51539382751483,140.76952
8,71009963,0.000525058997,R71009963XS0139077,55.02750000053128,-93.83687291367578,GRDC_4214350,55.0271,-93.83540000000002,12761723.558030408,236.51539382751483,140.76952
9,71011345,0.00072475892,R71011345XS0155949,54.77433841807201,-97.932328251766,GRDC_4213710,54.77709999999999,-97.9312,13110631.884696033,222.5560632467438,3217.0078
10,71011345,0.00072475892,R71011345XS0155950,54.77370598362022,-97.9329606878378,GRDC_4213710,54.77709999999999,-97.9312,13110631.884696033,222.5560632467438,3217.0078
11,71011345,0.00072475892,R71011345XS0155951,54.77303326314926,-97.93333333321368,GRDC_4213710,54.77709999999999,-97.9312,13110631.884696033,222.5560632467438,3217.0078
12,71011345,0.00072475892,R71011345XS0155952,54.77232923804403,-97.93350409844686,GRDC_4213710,54.77709999999999,-97.9312,13110631.884696033,222.5560632467438,3217.0078
13,71011345,0.00072475892,R71011345XS0155953,54.77169681070587,-97.93413652330317,GRDC_4213710,54.77709999999999,-97.9312,13110631.884696033,222.5560632467438,3217.0078
14,71011375,0.002510539811,R71011375XS0156898,54.81684548784367,-107.80916666640935,GRDC_4214300,54.8188,-107.8104,14042339.737566436,79.75445494166694,65.946
15,71011418,0.000260601152,R71011418XS0157485,54.82583333371807,-102.63320140290502,Canada_05KG007,54.8277816772461,-102.63555908203124,13554156.623056808,113.100205651086,40.935738
16,71012903,9.3837782e-05,R71012903XS0175423,54.52521624780288,-87.22666666678337,GRDC_4214450,54.52709999999999,-87.2271,12108841.27545846,203.96265111332207,384.32117
17,71012903,9.3837782e-05,R71012903XS0175424,54.52266292912563,-87.22599625945115,GRDC_4214450,54.52709999999999,-87.2271,12108841.27545846,203.96265111332207,384.32117
18,71016222,0.000504428864406,R71016222XS0215802,53.84666666728542,-101.1789117516354,GRDC_4213550,53.8479,-101.1854,13317674.594376694,275.3948115811176,761.8743
19,71016222,0.000504428864406,R71016222XS0215803,53.8458333340084,-101.18113708797569,GRDC_4213550,53.8479,-101.1854,13317674.594376694,275.3948115811176,761.8743
20,71017942,0.003681676687544,R71017942XS0238401,53.51583333407846,-109.60789187566024,GRDC_4213300,53.51879999999999,-109.6104,14088950.725764556,263.09705078703234,225.88795
21,71017943,0.000168289985,R71017943XS0238402,53.520523589435655,-109.6155235843076,Canada_05EF001,53.52318954467773,-109.61788940429688,14089884.77312089,172.45571210780125,225.11168
22,71017956,0.000421149391,R71017956XS0238858,53.54000000023484,-113.4817370817502,GRDC_4213031,53.53960000000001,-113.4854,14465967.991973191,167.30169256639007,193.71748
23,71019815,0.001105110122,R71019815XS0262693,53.31728516081694,-114.7510481757314,Canada_05DE010,53.31547927856445,-114.7579574584961,14569703.288875775,150.1505191191795,181.66626
24,71019815,0.001105110122,R71019815XS0262694,53.31620925114618,-114.7529574196807,Canada_05DE010,53.31547927856445,-114.7579574584961,14569703.288875775,150.1505191191795,181.66626
25,71019878,0.00026434142096,R71019878XS0263889,53.07047764895563,-85.01714431121887,GRDC_4214080,53.0729,-85.0187,11748529.726331938,434.3241375035879,334.2402
26,71023534,0.001480398269,R71023534XS0303879,52.376843344659285,-114.939823324721,Canada_05DC001,52.37670135498047,-114.94132232666016,14505874.376157176,94.15624517597747,107.326836
27,71023534,0.001480398269,R71023534XS0303880,52.37522765730881,-114.94060567924956,Canada_05DC001,52.37670135498047,-114.94132232666016,14505874.376157176,94.15624517597747,107.326836
28,71025453,0.000464197712,R71025453XS0328888,52.087595153665966,-87.07342848520791,GRDC_4214480,52.0896,-87.0771,11829846.328148808,165.59692515581736,216.257
29,71025453,0.000464197712,R71025453XS0328889,52.0883333337942,-87.07567238116533,GRDC_4214480,52.0896,-87.0771,11829846.328148808,165.59692515581736,216.257
30,71025481,0.000357906510584,R71025481XS0329128,52.29451805596117,-88.74798194873975,GRDC_4214430,52.2938,-88.7562,12004509.64901678,107.07907287129883,40.066456
31,71025481,0.000357906510584,R71025481XS0329129,52.29416666737794,-88.74882701359785,GRDC_4214430,52.2938,-88.7562,12004509.64901678,107.07907287129883,40.066456
