COMID,Unnamed: 0,node_id,lat,lon,time,wse,wse_u,width,width_u,stationid,node_data_num,width_u_r
78004254,1,78340500020241,54.6337196,-128.4215799,743698347.329,82.06147,0.09746,249.670536,5.509747,GRDC_4206250,102,0.022068070539168465
78004254,479,78340500020241,54.63379099,-128.4215811,745020661.956,82.06828,0.09608,232.328654,7.414381,GRDC_4206250,102,0.03191332998468626
78004254,246,78340500020241,54.63372381,-128.4215446,746823367.012,81.60599,0.09666,212.416897,6.358008,GRDC_4206250,102,0.029931743141883856
78004254,511,78340500020241,54.63370922,-128.4215087,747303759.154,81.16497,0.09878,244.596573,5.482404,GRDC_4206250,102,0.022414067101422554
78004254,239,78340500020241,54.63369208,-128.4216558,747681504.302,81.28475,0.09704,250.796157,5.169817,GRDC_4206250,102,0.020613621284476063
78004254,440,78340500020241,54.63367354,-128.4215967,748626072.401,80.58731,0.09923,233.979827,6.253494,GRDC_4206250,102,0.02672663742075508
78004254,102,78340500020241,54.63369629,-128.4215461,751853734.61,81.1312,0.09587,206.151222,5.946835,GRDC_4206250,102,0.028846954882469727
78004254,148,78340500020241,54.63374296,-128.4214931,752231479.997,81.15484,0.09776,234.905844,5.872997,GRDC_4206250,102,0.02500149378999698
78004254,864,78340500020241,54.63374112,-128.4214543,752711871.76,81.499,0.09854,249.472956,5.780297,GRDC_4206250,102,0.023170034510674575
78004254,54,78340500020241,54.63376039,-128.4215704,753656439.728,81.293,0.09516,231.839973,6.17128,GRDC_4206250,102,0.026618705653489706
78004254,510,78340500020241,54.63374738,-128.4215066,754034185.192,81.51554,0.09862,219.697216,6.630452,GRDC_4206250,102,0.030179954578941955
78004254,1,78340500020241,54.63366106,-128.421544,754514577.212,81.14021,0.09754,253.219649,6.636826,GRDC_4206250,102,0.026209759101277326
78004254,312,78340500020241,54.63371179,-128.4215561,754892321.976,81.04234,0.09796,245.263278,4.951768,GRDC_4206250,102,0.020189602130327885
78004254,139,78340500020241,54.63367817,-128.4215723,755836889.031,80.76189,0.09762,205.65112,6.982023,GRDC_4206250,102,0.03395081436950113
78004254,683,78340500020241,54.63371851,-128.4214793,756317280.802,80.85245,0.10109,262.792735,5.597387,GRDC_4206250,102,0.02129962611028802
78004254,771,78340500020241,54.63370967,-128.4215982,757261850.883,81.07044,0.09616,222.198252,4.572063,GRDC_4206250,102,0.020576503005073146
78004254,525,78340500020241,54.63372399,-128.421565,757639595.842,82.2142,0.10293,194.398742,6.518965,GRDC_4206250,102,0.03353398758105132
78004254,439,78340500020241,54.63372928,-128.4215515,758119986.702,80.85237,0.0998,281.251086,6.200953,GRDC_4206250,102,0.02204774775518556
