source,kge_median,kge_mean,kge_count,kge_>0(%),nrmse_median,nrmse_mean,nrmse_count,nrmse_<0.6(%),nse_median,nse_mean,nse_count,nse_>0(%)
datemean_0_qaloose_VersionD_w7,-0.0086,-1.144,679,48.6,0.8853,2.1285,679,16.35,-0.0741,-33.6857,679,42.56
datemean_5_qaloose_VersionD_w3,-0.0241,-0.941,449,47.66,0.9606,1.8932,449,14.48,-0.0993,-25.0066,449,36.53
q50_node_0_qastrict_VersionC,-0.0054,-3.465,101,49.5,0.863,4.4411,101,19.8,-0.2083,-76.8099,101,34.65
datemean_5_qastrict_VersionD_w7,-0.0262,-1.5453,405,47.9,0.9687,2.545,405,15.56,-0.0786,-37.2565,405,40.74
datemean_3_qaloose_VersionD_w3,-0.0121,-0.7401,489,48.67,0.9478,1.6884,489,14.31,-0.1196,-15.5413,489,36.4
datemean_5_qastrict_VersionD_w3,0.0069,-1.3396,421,51.31,0.9464,2.2765,421,16.86,-0.0773,-35.8516,421,40.86
datemean_10_qastrict_VersionC_w7,-0.1344,-1.9785,297,34.01,0.895,2.7735,297,17.51,-0.1154,-74.7744,297,34.34
q50_node_10_qastrict_VersionD,0.0737,-1.822,146,56.85,0.8328,2.8635,146,22.6,-0.2251,-186.9626,146,32.88
q50_node_5_qaloose_VersionD,0.0506,-0.8147,327,55.96,0.8312,1.8202,327,22.32,-0.0971,-43.2982,327,37.92
datemean_0_qastrict_VersionD_w3,0.025,-1.2991,599,53.76,0.8692,2.1912,599,15.53,-0.0452,-49.0434,599,45.91
datemean_0_qaloose_VersionC_w7,-0.0185,-1.0145,657,47.64,0.8988,1.8848,657,15.37,-0.0838,-42.953,657,40.33
datemean_5_qaloose_VersionC_w3,-0.1269,-2.1052,488,38.73,0.9691,2.8704,488,13.93,-0.1407,-259.5994,488,31.15
datemean_3_qaloose_VersionC_w7,-0.053,-1.3095,504,43.65,0.9392,2.2168,504,16.67,-0.0982,-44.5379,504,37.3
datemean_5_qastrict_VersionD_w5,0.0074,-1.6706,415,50.84,0.9237,2.6807,415,16.14,-0.0893,-47.2234,415,38.31
q50_node_10_qaloose_VersionC,0.0597,-1.4215,277,57.76,0.8277,2.3741,277,22.02,-0.2255,-143.1535,277,32.13
q50_node_0_qaloose_VersionD,0.0394,-1.0497,533,56.29,0.8402,2.0589,533,18.95,-0.0322,-27.6014,533,46.15
datemean_5_qaloose_VersionD_w7,-0.0076,-0.8455,451,49.0,0.9633,1.8297,451,16.19,-0.0845,-25.157,451,38.58
datemean_3_qastrict_VersionC_w5,-0.0284,-2.4008,341,45.16,0.8922,3.254,341,15.84,-0.1026,-112.3992,341,38.71
q50_node_3_qastrict_VersionC,0.0395,-0.225,76,53.95,0.8746,1.1559,76,22.37,-0.2578,-4.881,76,31.58
datemean_5_qastrict_VersionC_w7,-0.0614,-2.5693,321,43.3,0.9058,3.4487,321,14.64,-0.0781,-102.3431,321,42.06
datemean_0_qastrict_VersionC_w3,0.0094,-1.7517,443,51.02,0.8677,2.6714,443,16.93,-0.0568,-63.721,443,43.34
q50_node_0_qaloose_VersionC,0.0293,-1.091,629,54.53,0.8635,2.0937,629,17.65,-0.0497,-39.9442,629,43.4
datemean_3_qastrict_VersionD_w5,0.0264,-1.5172,433,52.66,0.9121,2.504,433,16.17,-0.085,-42.9156,433,38.57
q50_node_3_qaloose_VersionD,0.0766,-0.857,366,57.65,0.8245,1.8942,366,21.31,-0.0901,-48.8922,366,40.16
datemean_10_qaloose_VersionD_w5,-0.0943,-0.7431,395,42.53,0.9838,1.6517,395,13.16,-0.1188,-19.4931,395,32.91
datemean_0_qaloose_VersionD_w5,0.0242,-2.7046,680,53.38,0.8844,3.6989,680,16.62,-0.0938,-1719.8398,680,41.32
datemean_3_qaloose_VersionD_w7,0.0135,-0.7035,487,51.33,0.9093,1.6808,487,16.43,-0.068,-17.7252,487,41.68
datemean_3_qaloose_VersionC_w5,-0.0675,-1.354,517,41.2,0.958,2.2208,517,16.25,-0.1031,-44.8469,517,34.43
datemean_0_qastrict_VersionD_w5,0.0219,-1.1308,615,53.33,0.8575,2.0768,615,17.72,-0.0406,-33.1281,615,45.04
datemean_3_qaloose_VersionD_w5,0.003,-1.3312,501,50.5,0.9221,1.973,501,15.17,-0.0885,-178.2187,501,38.92
