stationid,COMID,q50,q50_weighted,slp,slope
baimasi,43030084,0.005345173,0.005282297885666291,,0.003501200643
changjiangtun,42043227,77.66107,130.08581631000226,,0.000331642404
dalai,42047856,198.96176,456.7215118408203,,3.8452614e-05
fuyu,42047860,181.97258,280.2612476348877,,7.8805377e-05
heishiguan,43027816,52.578365,55.705577177159924,,0.000206590517
huaibin,43044183,67.85171,73.29984929011418,,4.0425896e-05
humaqiao,42012937,73.72254,178.57594299316406,,0.000721642985
jiamusi,42037498,844.3086,1841.4618225097656,,5.1162061e-05
jiangjiaji,43044098,52.981815,57.97019386291504,,0.000142441977
kuerbin,42026066,11.201944,24.723356246948242,,0.000836543507
lianhua,42045708,14.14196,25.005828398245352,,0.000434467297
liujiatun,42025877,23.484222,54.12722587585449,,0.000414399222
longmenzhen,43027970,14.195982,14.700741386413574,,0.002166910388
luanxian,43004870,36.04438,47.643805841299205,,0.004511909220366
shihuiyao,42020496,24.087688,48.911058842052114,,0.000406657892
shuanghetun,42025887,22.942959,52.78967448643276,,0.000464584913
tangmazhai,42061735,37.913963,44.41279320967825,,0.000149243715
tieling,42059330,108.401436,202.23293380737306,,2.7451939e-05
tonghe,42045560,622.0312,1453.3225504557292,,0.000226372394555
tonghua,42060702,15.403708,24.0091928135265,,0.001154452985
xingjiawopeng,42061756,32.478508,40.268668450249564,,0.000125753939
