stationid,date,width
baimasi,1986-06-10,96.2046614971307
baimasi,1986-11-08,0.489502554909659
baimasi,1986-12-03,0.489502554909659
baimasi,1987-01-27,0.489502554909659
baimasi,1987-03-16,111.810379488078
baimasi,1987-07-06,112.40202417113
baimasi,1988-04-12,85.6784517150019
baimasi,1988-06-06,1.10118147574982
baimasi,1989-02-10,71.5767959237382
baimasi,1989-03-14,31.7564782497641
baimasi,1989-05-01,19.8860412932049
baimasi,1989-05-17,60.65957485586425
baimasi,1990-06-05,38.794262984422865
baimasi,1990-08-31,41.3971923071953
baimasi,1991-06-15,73.9148857913585
baimasi,1991-07-01,62.5452697519514
baimasi,1991-08-02,46.90329415675785
baimasi,1991-08-27,31.2726348759757
baimasi,1991-09-12,31.2726348759757
baimasi,1991-09-19,37.1456027466414
baimasi,1991-10-21,46.90329415675785
baimasi,1992-02-26,41.691188002790064
baimasi,1992-03-29,48.31986843385837
baimasi,1992-04-14,31.2726348759757
baimasi,1992-05-25,31.2726348759757
baimasi,1992-06-17,31.2726348759757
baimasi,1992-08-04,19.4000494240397
baimasi,1992-09-30,62.52829425641875
baimasi,1992-10-16,54.80412045282896
baimasi,1992-10-23,44.3417227722029
baimasi,1992-12-10,62.5226371231286
baimasi,1993-01-27,54.7268472875461
baimasi,1993-02-05,67.75719973433978
baimasi,1993-06-04,33.81834760503427
baimasi,1993-08-16,62.5339513897089
baimasi,1993-09-01,49.54174640768813
baimasi,1993-09-24,40.263472217636895
baimasi,1993-10-19,40.42641085842577
baimasi,1994-01-14,62.53395343754
baimasi,1994-01-23,52.111627523311505
baimasi,1994-02-08,31.2669756948545
baimasi,1994-03-28,36.4688823744471
baimasi,1994-07-02,38.9986950732726
baimasi,1994-08-19,31.2726348759757
baimasi,1994-10-22,47.03421570172037
baimasi,1995-11-01,31.2613185615643
baimasi,1995-11-10,46.89309399977233
baimasi,1996-09-16,75.32032129084773
baimasi,1996-10-18,87.14996636783106
baimasi,1996-10-27,78.0128142203652
baimasi,1997-03-04,83.54060119049801
baimasi,1997-04-05,45.484832803339906
baimasi,1997-04-12,58.7393669439499
baimasi,1997-05-14,76.91192075942969
baimasi,1997-05-23,70.4667961468271
baimasi,1997-05-30,69.0390803616739
baimasi,1997-09-28,49.62214500098046
baimasi,1997-10-05,41.7296284359777
baimasi,1997-10-21,42.97306863012423
baimasi,1997-10-30,49.78602868440927
baimasi,1997-12-08,46.93153846517007
baimasi,1998-02-26,60.6424448542837
baimasi,1998-04-15,31.411870184216667
baimasi,1998-06-02,72.95627798654779
baimasi,1998-09-06,95.22864491754761
baimasi,1998-10-08,78.17669387158396
baimasi,1998-10-17,83.3767175070692
baimasi,1998-11-09,95.22864491754761
baimasi,1999-02-13,62.5452697519514
baimasi,1999-05-04,57.31353686989343
baimasi,1999-05-13,79.46140559329207
baimasi,1999-05-29,78.1646127183221
baimasi,1999-10-27,74.3821080606042
baimasi,1999-11-12,79.58307270651933
baimasi,1999-11-28,68.4069213082057
baimasi,1999-11-29,62.53395343754
baimasi,1999-12-14,46.7123057391506
baimasi,1999-12-22,62.53395343754
baimasi,2000-03-11,45.52327726873764
baimasi,2000-03-12,45.52327726873764
baimasi,2000-04-04,31.2669756948545
baimasi,2000-05-07,35.2648316883382
baimasi,2000-06-08,25.3911792575437
baimasi,2000-06-23,40.323253633252364
baimasi,2000-08-10,31.207918083989984
baimasi,2000-09-12,35.0990656434124
baimasi,2000-09-19,54.64049517949703
baimasi,2000-10-29,63.961668540082826
baimasi,2000-10-30,63.961668540082826
baimasi,2001-03-30,27.2310658911389
baimasi,2001-03-31,37.6513819136218
baimasi,2001-04-15,26.983828339395
baimasi,2001-06-18,25.3911792575437
baimasi,2001-06-27,32.530129570429004
baimasi,2001-07-04,16.99006165811492
baimasi,2001-07-12,26.983828339395
baimasi,2001-09-06,24.800293236118268
baimasi,2001-09-30,27.2310658911389
baimasi,2001-10-17,50.8672459780978
baimasi,2002-01-04,43.139561146790456
baimasi,2002-01-05,62.5339513897089
baimasi,2002-01-21,56.06726961358307
baimasi,2002-06-06,13.7377396948407
baimasi,2002-09-01,23.249605579813952
baimasi,2002-09-02,13.7377396948407
baimasi,2002-09-18,27.4783034428828
baimasi,2002-09-25,48.17381203815043
baimasi,2002-10-12,58.2508040342494
baimasi,2002-11-04,53.233654982117535
baimasi,2002-11-12,11.872585451936
baimasi,2003-03-20,48.17381203815043
baimasi,2003-03-21,42.97378840266517
baimasi,2003-03-28,19.5153828202329
baimasi,2003-07-27,31.2726348759757
baimasi,2004-01-19,73.9148857913585
baimasi,2004-03-14,62.53395343754
baimasi,2004-03-23,52.111627523311505
baimasi,2004-04-08,61.269175610565334
baimasi,2004-04-24,52.83392872552015
baimasi,2004-05-17,45.64682674346193
baimasi,2004-06-11,59.841459825412166
baimasi,2004-08-30,72.95533663548073
baimasi,2004-10-08,228.34181177332698
baimasi,2004-10-24,88.579567864081
baimasi,2004-12-04,62.53395343754
baimasi,2005-03-17,35.060621178014664
baimasi,2005-09-09,48.317982040151264
baimasi,2006-03-04,79.44173277564477
baimasi,2006-05-16,61.3317877799175
baimasi,2006-05-23,84.645521134124
baimasi,2006-06-01,71.71190047354419
baimasi,2006-06-24,20.886863683838143
baimasi,2006-09-12,40.42641085842577
baimasi,2006-10-14,86.05352795266981
baimasi,2006-12-17,62.5226371231286
baimasi,2007-01-18,62.5226371231286
baimasi,2007-03-07,74.4178552038874
baimasi,2007-04-08,45.6686510641125
baimasi,2007-04-24,30.044415803302034
baimasi,2007-05-19,19.45914789868498
baimasi,2007-06-27,30.044415803302034
baimasi,2007-08-14,88.10197418380329
baimasi,2008-02-22,82.11382675641197
baimasi,2008-03-02,67.71335921273804
baimasi,2008-03-09,87.45591310427506
baimasi,2008-03-25,38.9949229684688
baimasi,2008-05-12,52.111627523311505
baimasi,2008-09-01,33.79584403365036
baimasi,2008-11-04,108.1779520942544
baimasi,2008-11-20,39.140761475887466
baimasi,2009-01-23,62.5452697519514
baimasi,2009-03-05,15.6000709064558
baimasi,2009-04-13,35.0669663090686
baimasi,2009-06-25,74.3849388143409
baimasi,2009-08-12,54.56077850392737
baimasi,2009-10-15,105.455787282973
baimasi,2009-10-22,43.0185706173071
baimasi,2009-11-07,85.82681790317235
baimasi,2010-02-20,65.10383387055298
baimasi,2010-04-16,36.15962892785347
baimasi,2010-05-02,7.58866286618589
baimasi,2010-05-11,27.16407813032136
baimasi,2010-06-28,54.493755640774154
baimasi,2010-07-30,114.52485417544368
baimasi,2010-10-02,72.95439227545103
baimasi,2010-11-10,63.838115715758796
baimasi,2010-12-28,72.95439227545103
baimasi,2011-03-27,72.95439227545103
baimasi,2011-04-12,50.6726843000154
baimasi,2011-04-19,55.739502929335764
baimasi,2011-05-05,51.82419101555863
baimasi,2011-05-14,66.32571184438272
baimasi,2011-07-08,83.3767175070692
baimasi,2011-10-21,156.332995493617
baimasi,2013-05-03,66.61409305280243
baimasi,2013-06-04,56.19176782118427
baimasi,2013-06-11,106.93756457434408
baimasi,2013-06-27,53.521556884524536
baimasi,2013-08-14,74.61006001410584
baimasi,2013-08-30,60.5998151582118
baimasi,2014-03-10,93.8009270845634
baimasi,2014-04-27,46.8976349756366
baimasi,2014-05-06,93.8009270845634
baimasi,2014-06-07,93.8009270845634
baimasi,2014-07-16,93.8009270845634
baimasi,2014-07-25,105.181861486213
baimasi,2014-11-14,163.55504115919
baimasi,2015-07-28,71.65117401528873
baimasi,2015-08-13,50.8487360900439
changjiangtun,1985-05-14,188.22483345779776
changjiangtun,1985-10-05,182.2006776081115
changjiangtun,1985-11-06,177.70337053773324
changjiangtun,1986-05-01,195.17618360711126
changjiangtun,1986-07-20,198.926076800357
changjiangtun,1987-06-21,196.684843511218
