ID,glow_lat,glow_lon,index_righ,COMID,id_1,Width,gage_lat,gage_lon,STCD,stationid,Width_deg,geometry,q50
R42012937XS0111499,51.66953911617321,126.61083333266544,8,42012937,1587.0,273.9594031,51.666056,126.616417,10400070,humaqiao,0.002465437392909,POINT (126.6108333326654 51.66953911617321),73.72254
R42012937XS0111500,51.667964824378934,126.60999999933352,8,42012937,1587.0,273.9594031,51.666056,126.616417,10400070,humaqiao,0.002465437392909,POINT (126.6099999993335 51.66796482437893),73.72254
R42037498XS0194266,46.83250000082434,130.3380113355351,18,42037498,2512.0,1163.564179,46.828028,130.333417,11121820,jiamusi,0.010471239911807,POINT (130.3380113355351 46.83250000082434),844.3086
R42043227XS0214067,45.99047938969314,129.58868728001764,12,42043227,1805.0,311.9274899,45.99,129.590944,11100120,changjiangtun,0.002807122839273,POINT (129.5886872800176 45.99047938969314),77.66107
R42043227XS0214068,45.98909826997934,129.59006839762588,12,42043227,1805.0,311.9274899,45.99,129.590944,11100120,changjiangtun,0.002807122839273,POINT (129.5900683976259 45.98909826997934),77.66107
R42043227XS0214069,45.987717175447784,129.5914494936194,12,42043227,1805.0,311.9274899,45.99,129.590944,11100120,changjiangtun,0.002807122839273,POINT (129.5914494936194 45.98771717544778),77.66107
R42043227XS0214070,45.98626371398704,129.59249999924603,12,42043227,1805.0,311.9274899,45.99,129.590944,11100120,changjiangtun,0.002807122839273,POINT (129.592499999246 45.98626371398704),77.66107
R42045560XS0223098,45.96801041926237,128.7513437475538,19,42045560,2536.0,1110.379044,45.970083,128.7515,11022450,tonghe,0.009992611987041,POINT (128.7513437475538 45.96801041926237),622.0312
R42045560XS0223099,45.96750000061931,128.7501952339865,19,42045560,2536.0,1110.379044,45.970083,128.7515,11022450,tonghe,0.009992611987041,POINT (128.7501952339865 45.96750000061931),622.0312
R42045560XS0223100,45.96673626705578,128.74923626542972,19,42045560,2536.0,1110.379044,45.970083,128.7515,11022450,tonghe,0.009992611987041,POINT (128.7492362654297 45.96673626705578),622.0312
R42047856XS0237394,45.54150259762402,124.35433073768527,20,42047856,2595.0,483.7561514,45.5467,124.2647,11420330,dalai,0.004353457086033,POINT (124.3543307376853 45.54150259762402),198.96176
R42047856XS0237395,45.54333333350112,124.35162249758783,20,42047856,2595.0,483.7561514,45.5467,124.2647,11420330,dalai,0.004353457086033,POINT (124.3516224975878 45.54333333350112),198.96176
R42047860XS0237620,45.19294231462545,124.75539102177318,16,42047860,2146.0,555.0520999,45.16694,124.811639,10959200,fuyu,0.004995069293557,POINT (124.7553910217732 45.19294231462545),181.97258
R42047860XS0237621,45.192500000037185,124.75749067097686,16,42047860,2146.0,555.0520999,45.16694,124.811639,10959200,fuyu,0.004995069293557,POINT (124.7574906709769 45.19250000003719),181.97258
R42047860XS0237622,45.19166666712894,124.75930403493412,16,42047860,2146.0,555.0520999,45.16694,124.811639,10959200,fuyu,0.004995069293557,POINT (124.7593040349341 45.19166666712894),181.97258
R42060702XS0287916,41.74166666732523,125.95228269576893,3,42060702,989.0,404.4539165,41.74118,125.956192,11605400,tonghua,0.003639794064975,POINT (125.9522826957689 41.74166666732523),15.403708
R42060702XS0287917,41.74250000057314,125.95398898587851,3,42060702,989.0,404.4539165,41.74118,125.956192,11605400,tonghua,0.003639794064975,POINT (125.9539889858785 41.74250000057314),15.403708
R42060702XS0287918,41.74333333380555,125.95569528094185,3,42060702,989.0,404.4539165,41.74118,125.956192,11605400,tonghua,0.003639794064975,POINT (125.9556952809419 41.74333333380555),15.403708
R42060702XS0287919,41.7446072130013,125.95710720820446,3,42060702,989.0,404.4539165,41.74118,125.956192,11605400,tonghua,0.003639794064975,POINT (125.9571072082045 41.7446072130013),15.403708
R43044183XS0477981,32.43460501348202,115.41627167669299,7,43044183,1527.0,246.1995238,32.4347,115.4159,50100700,huaibin,0.002215618464723,POINT (115.416271676693 32.43460501348202),67.85171
R43044183XS0477982,32.434166667238046,115.41227816791509,7,43044183,1527.0,246.1995238,32.4347,115.4159,50100700,huaibin,0.002215618464723,POINT (115.4122781679151 32.43416666723805),67.85171
R42020496XS1751182,50.047768382820145,125.3194350446659,9,42020496,1615.0,100.0,50.048333,125.322777,11200020,shihuiyao,0.00089992800576,POINT (125.3194350446659 50.04776838282014),24.087688
R42020496XS1751183,50.04862291206586,125.32112290705923,9,42020496,1615.0,100.0,50.048333,125.322777,11200020,shihuiyao,0.00089992800576,POINT (125.3211229070592 50.04862291206586),24.087688
R42020496XS1751184,50.04947744862102,125.32281077679049,9,42020496,1615.0,100.0,50.048333,125.322777,11200020,shihuiyao,0.00089992800576,POINT (125.3228107767905 50.04947744862102),24.087688
R42020496XS1751185,50.05078314372783,125.32411647581127,9,42020496,1615.0,100.0,50.048333,125.322777,11200020,shihuiyao,0.00089992800576,POINT (125.3241164758113 50.05078314372783),24.087688
R42025877XS1764141,49.24886235857282,125.07969568687388,10,42025877,1640.0,100.0,49.25,125.083333,11200260,liujiatun,0.00089992800576,POINT (125.0796956868739 49.24886235857282),23.484222
