node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,stationid,COMID,date
43428400030521,43428400031,747500930.899,32.30356041,115.746291,25.17736,0.0995,226.211269,7.133811,0,0,0,0.04039155299,171.0,2,2,0,26153.76562,0.04244,213.76200273,SWOT_L2_HR_RiverSP_Node_003_215_AS_20230908T150546_20230908T151141_PGD0_01.zip,jiangjiaji,43044098,2023-09-08
43210800030561,43210800031,747587402.058,34.72065483,112.9304359,109.10892,0.17804,93.263284,3.483703,0,0,0,0.10714899513,101.0,1,1,0,-58867.03125,0.15362,196.54360743,SWOT_L2_HR_RiverSP_Node_003_243_AS_20230909T150316_20230909T151215_PGD0_01.zip,heishiguan,43027816,2023-09-09
43210800030571,43210800031,747587402.027,34.71890769,112.9296005,108.59076,0.16731,79.074373,2.874738,1,1,0,0.19963730752,108.0,1,1,0,-58913.19531,0.14104,221.02968111,SWOT_L2_HR_RiverSP_Node_003_243_AS_20230909T150316_20230909T151215_PGD0_01.zip,heishiguan,43027816,2023-09-09
43428400030521,43428400031,747539922.309,32.30300218,115.7464433,25.17842,0.09357,156.672042,7.583666,0,0,0,0.03990602766,171.0,2,2,0,28780.14648,0.02561,213.76200273,SWOT_L2_HR_RiverSP_Node_003_228_AS_20230909T015553_20230909T020111_PGD0_01.zip,jiangjiaji,43044098,2023-09-09
43428400030531,43428400031,747539922.326,32.30175533,115.7451564,25.27913,0.09329,197.764397,9.608479,0,0,0,0.0,166.5,2,2,0,28908.08984,0.02454,184.13540818,SWOT_L2_HR_RiverSP_Node_003_228_AS_20230909T015553_20230909T020111_PGD0_01.zip,jiangjiaji,43044098,2023-09-09
43428400030541,43428400031,747539922.332,32.30097637,115.7432947,25.27426,0.0973,118.50766,6.055195,0,0,0,0.05506790048,185.0,2,2,0,29135.02539,0.03698,201.93611162,SWOT_L2_HR_RiverSP_Node_003_228_AS_20230909T015553_20230909T020111_PGD0_01.zip,jiangjiaji,43044098,2023-09-09
43210800200011,43210800201,747626312.788,34.55576437,112.4723006,149.45785,0.14813,156.249018,5.825768,0,0,0,0.0,284.0,1,1,0,51374.0,0.11766,154.71454696,SWOT_L2_HR_RiverSP_Node_003_256_AS_20230910T015635_20230910T020205_PGD0_01.zip,longmenzhen,43027970,2023-09-10
43210800200021,43210800201,747626312.816,34.55430504,112.4718123,149.34922,0.10648,134.147886,4.435199,0,0,0,0.0,189.0,1,1,0,51438.83594,0.05691,213.60212559,SWOT_L2_HR_RiverSP_Node_003_256_AS_20230910T015635_20230910T020205_PGD0_01.zip,longmenzhen,43027970,2023-09-10
43210800530011,43210800531,747626310.571,34.7100751,112.6034977,113.07192,0.09544,229.534942,9.814724,0,0,0,0.0,87.0,1,1,0,36079.58594,0.03176,154.11416728,SWOT_L2_HR_RiverSP_Node_003_256_AS_20230910T015635_20230910T020205_PGD0_01.zip,baimasi,43030084,2023-09-10
43210800530021,43210800531,747626310.56,34.71018496,112.6013603,113.06551,0.09518,197.519747,7.375058,0,0,0,0.0,155.0,1,1,0,36299.51953,0.03098,214.71661345,SWOT_L2_HR_RiverSP_Node_003_256_AS_20230910T015635_20230910T020205_PGD0_01.zip,baimasi,43030084,2023-09-10
42481500090731,42481500091,749854857.785,42.32904101,123.8358549,54.16041,0.29716,11.090251,0.916512,0,0,0,0.43276182997,75.0,1,1,0,42554.85156,0.2832,189.30001422,SWOT_L2_HR_RiverSP_Node_004_394_AS_20231005T205702_20231005T210321_PGD0_01.zip,tieling,42059330,2023-10-05
42481500090741,42481500091,749854857.771,42.33021708,123.8376463,52.64549,0.11158,62.348715,3.253629,0,0,0,0.09649150589,144.0,1,1,0,42395.8125,0.06596,201.89216108,SWOT_L2_HR_RiverSP_Node_004_394_AS_20231005T205702_20231005T210321_PGD0_01.zip,tieling,42059330,2023-10-05
42242100060581,42242100061,750540070.44,45.98828343,129.5906233,113.90217,0.09418,211.303419,7.477646,0,0,0,0.0,213.0,1,1,0,-28548.8418,0.02776,220.29582668,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,changjiangtun,42043227,2023-10-13
42242100060591,42242100061,750540070.471,45.98669762,129.5919639,113.87498,0.09447,239.897859,8.756398,0,0,0,0.0,202.0,1,1,0,-28603.71094,0.02872,185.29699159,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,changjiangtun,42043227,2023-10-13
42243100090661,42243100091,750540068.169,45.96416453,128.7499615,101.53596,0.09099,1066.057203,10.513326,0,0,0,0.07069369227,829.5,2,2,0,35049.00781,0.01341,204.64574375,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,tonghe,42045560,2023-10-13
42243200030021,42243200031,750540070.706,45.80745695,128.7224868,109.71309,0.09502,167.772469,6.204086,0,0,0,0.0,127.0,1,1,0,41754.80469,0.03047,200.1879859,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,lianhua,42045708,2023-10-13
42481500090751,42481500091,750799430.326,42.33146534,123.8389311,52.61571,0.11198,96.992802,3.916803,0,0,0,0.06385414233,165.0,1,1,0,-57036.05078,0.06663,218.73534274,SWOT_L2_HR_RiverSP_Node_005_116_AS_20231016T192001_20231016T192433_PGD0_01.zip,tieling,42059330,2023-10-16
42241500050111,42241500051,750760873.853,46.83196219,130.3357631,74.66045,0.09127,1127.479042,11.617664,0,0,0,0.01881403992,707.0,1,1,0,41050.3125,0.01517,193.15955945,SWOT_L2_HR_RiverSP_Node_005_103_AS_20231016T083805_20231016T084407_PGD0_01.zip,jiamusi,42037498,2023-10-16
42249900150171,42249900151,750626427.995,50.04792872,125.3190533,271.2634,0.09747,171.775336,10.195662,0,0,0,0.0,84.0,1,1,0,-21727.44531,0.03743,178.37263886,SWOT_L2_HR_RiverSP_Node_005_060_AS_20231014T191849_20231014T192603_PGD0_01.zip,shihuiyao,42020496,2023-10-14
42249900150181,42249900151,750626427.986,50.04895603,125.3211777,271.35546,0.0942,158.548342,8.240486,0,0,0,0.0,144.0,1,1,0,-21915.61328,0.02781,205.69947398,SWOT_L2_HR_RiverSP_Node_005_060_AS_20231014T191849_20231014T192603_PGD0_01.zip,shihuiyao,42020496,2023-10-14
42249900150191,42249900151,750626427.972,50.05011494,125.3232431,271.47495,0.09409,147.855931,8.91175,0,0,0,0.0,159.0,1,1,0,-22093.49609,0.02744,196.11324572,SWOT_L2_HR_RiverSP_Node_005_060_AS_20231014T191849_20231014T192603_PGD0_01.zip,shihuiyao,42020496,2023-10-14
42481500090731,42481500091,748052156.47,42.32851412,123.8359882,52.86363,0.09895,91.23965,4.835286,0,0,0,0.0,75.0,1,1,0,42084.49219,0.04112,189.30001422,SWOT_L2_HR_RiverSP_Node_003_394_AS_20230915T001201_20230915T001819_PGD0_01.zip,tieling,42059330,2023-09-15
42481500090741,42481500091,748052156.45,42.33003843,123.837509,52.97134,0.09896,101.786476,4.944737,0,0,0,0.0,144.0,1,1,0,41924.03906,0.04114,201.89216108,SWOT_L2_HR_RiverSP_Node_003_394_AS_20230915T001201_20230915T001819_PGD0_01.zip,tieling,42059330,2023-09-15
42481500090751,42481500091,748052156.431,42.33142197,123.8389618,52.98408,0.10178,100.076222,5.262951,0,0,0,0.0,165.0,1,1,0,41765.07812,0.04753,218.73534274,SWOT_L2_HR_RiverSP_Node_003_394_AS_20230915T001201_20230915T001819_PGD0_01.zip,tieling,42059330,2023-09-15
42243200030021,42243200031,748100016.402,45.80770908,128.7224393,110.07193,0.09405,176.203271,5.808322,0,0,0,0.07470161689,127.0,1,1,0,44102.78125,0.02729,200.1879859,SWOT_L2_HR_RiverSP_Node_003_409_AS_20230915T133109_20230915T133648_PGD0_01.zip,lianhua,42045708,2023-09-15
42257000080041,42257000081,748100076.651,49.3683749,128.9395992,108.44611,0.14059,86.941614,3.2445,0,0,0,0.14312994144,80.0,1,1,0,-48040.75,0.108,215.89651995,SWOT_L2_HR_RiverSP_Node_003_409_AS_20230915T133109_20230915T133648_PGD0_01.zip,kuerbin,42026066,2023-09-15
42440400440891,42440400441,748099939.408,41.74258167,125.9544646,372.97898,0.13431,258.722221,4.903206,1,1,0,0.11888588988,256.0,1,1,0,-59911.84766,0.0997,188.59632496,SWOT_L2_HR_RiverSP_Node_003_409_AS_20230915T133109_20230915T133648_PGD0_01.zip,tonghua,42060702,2023-09-15
42440400440901,42440400441,748099939.433,41.74372516,125.9563835,372.76098,0.11906,184.021239,4.608054,0,0,0,0.02108319191,254.0,1,1,0,-59773.75,0.07795,222.52562473,SWOT_L2_HR_RiverSP_Node_003_409_AS_20230915T133109_20230915T133648_PGD0_01.zip,tonghua,42060702,2023-09-15
43210800200011,43210800201,749429015.554,34.55614674,112.4722833,148.98333,0.17548,119.955657,5.502709,0,0,0,0.0,284.0,1,1,0,51644.14062,0.15065,154.71454696,SWOT_L2_HR_RiverSP_Node_004_256_AS_20230930T223912_20230930T224707_PGD0_01.zip,longmenzhen,43027970,2023-09-30
43210800530021,43210800531,749429013.338,34.70968339,112.6019584,113.39501,0.15311,23.376691,2.41761,0,0,0,0.20943882337,155.0,1,1,0,36540.17188,0.12387,214.71661345,SWOT_L2_HR_RiverSP_Node_004_256_AS_20230930T223912_20230930T224707_PGD0_01.zip,baimasi,43030084,2023-09-30
