stationid,width,wse,wse_max,wse_min,area
changjiangtun,157.65675604709236,112.62799205668192,112.62799205668192,112.62799205668192,140.03695593402122
changjiangtun,158.30795859735846,112.63590338797958,112.63590338797958,112.63590338797958,141.28680670198312
changjiangtun,158.95916114762457,112.64384447898405,112.64384447898405,112.64384447898405,142.5465302372934
changjiangtun,159.61036369789068,112.6518153190376,112.6518153190376,112.6518153190376,143.81616360153217
changjiangtun,160.2615662481568,112.6598158975299,112.6598158975299,112.6598158975299,145.09574384304062
changjiangtun,160.91276879842292,112.66784620389755,112.66784620389755,112.66784620389755,146.38530799696707
changjiangtun,161.56397134868902,112.6759062276238,112.6759062276238,112.6759062276238,147.68489308534092
changjiangtun,162.21517389895513,112.68399595823796,112.68399595823796,112.68399595823796,148.99453611710902
changjiangtun,162.86637644922124,112.69211538531519,112.69211538531519,112.69211538531519,150.31427408821193
changjiangtun,163.51757899948734,112.70026449847606,112.70026449847606,112.70026449847606,151.64414398163365
changjiangtun,164.16878154975348,112.70844328738613,112.70844328738613,112.70844328738613,152.9841827674547
changjiangtun,164.81998410001958,112.71665174175564,112.71665174175564,112.71665174175564,154.33442740291332
changjiangtun,165.4711866502857,112.72488985133909,112.72488985133909,112.72488985133909,155.694914832456
changjiangtun,166.1223892005518,112.7331576059349,112.7331576059349,112.7331576059349,157.06568198779865
changjiangtun,166.7735917508179,112.7414549953851,112.7414549953851,112.7414549953851,158.44676578797723
changjiangtun,167.424794301084,112.74978200957483,112.74978200957483,112.74978200957483,159.83820313939702
changjiangtun,168.0759968513501,112.75813863843214,112.75813863843214,112.75813863843214,161.24003093589505
changjiangtun,168.72719940161625,112.7665248719276,112.7665248719276,112.7665248719276,162.65228605879193
changjiangtun,169.37840195188235,112.77494070007388,112.77494070007388,112.77494070007388,164.07500537693537
changjiangtun,170.02960450214846,112.78338611292554,112.78338611292554,112.78338611292554,165.5082257467664
changjiangtun,170.68080705241456,112.79186110057856,112.79186110057856,112.79186110057856,166.951984012356
changjiangtun,171.33200960268067,112.80036565317012,112.80036565317012,112.80036565317012,168.4063170054715
changjiangtun,171.98321215294678,112.80889976087823,112.80889976087823,112.80889976087823,169.8712615456205
changjiangtun,172.63441470321288,112.81746341392139,112.81746341392139,112.81746341392139,171.3468544400962
changjiangtun,173.28561725347902,112.82605660255828,112.82605660255828,112.82605660255828,172.83313248403832
changjiangtun,173.93681980374512,112.83467931708746,112.83467931708746,112.83467931708746,174.3301324604739
changjiangtun,174.58802235401123,112.84333154784706,112.84333154784706,112.84333154784706,175.83789114037393
changjiangtun,175.23922490427734,112.85201328521444,112.85201328521444,112.85201328521444,177.35644528269933
changjiangtun,175.89042745454344,112.86072451960591,112.86072451960591,112.86072451960591,178.8858316344458
changjiangtun,176.54163000480955,112.86946524147643,112.86946524147643,112.86946524147643,180.4260869307001
changjiangtun,177.19283255507568,112.87823544131932,112.87823544131932,112.87823544131932,181.97724789468305
changjiangtun,177.8440351053418,112.8870351096659,112.8870351096659,112.8870351096659,183.53935123779377
changjiangtun,178.4952376556079,112.8958642370853,112.8958642370853,112.8958642370853,185.11243365966575
changjiangtun,179.146440205874,112.90472281418411,112.90472281418411,112.90472281418411,186.69653184820692
changjiangtun,179.7976427561401,112.91361083160609,112.91361083160609,112.91361083160609,188.2916824796486
changjiangtun,180.4488453064062,112.92252828003191,112.92252828003191,112.92252828003191,189.89792221858877
changjiangtun,181.10004785667235,112.93147515017888,112.93147515017888,112.93147515017888,191.5152877180444
changjiangtun,181.75125040693845,112.94045143280067,112.94045143280067,112.94045143280067,193.14381561949278
changjiangtun,182.40245295720456,112.94945711868698,112.94945711868698,112.94945711868698,194.78354255290938
changjiangtun,183.05365550747067,112.95849219866336,112.95849219866336,112.95849219866336,196.43450513682785
changjiangtun,183.70485805773677,112.96755666359091,112.96755666359091,112.96755666359091,198.0967399783735
changjiangtun,184.35606060800288,112.97665050436599,112.97665050436599,112.97665050436599,199.7702836733114
changjiangtun,185.00726315826898,112.98577371191996,112.98577371191996,112.98577371191996,201.45517280608325
changjiangtun,185.65846570853512,112.99492627721901,112.99492627721901,112.99492627721901,203.1514439498694
changjiangtun,186.30966825880122,113.00410819126375,113.00410819126375,113.00410819126375,204.85913366660563
changjiangtun,186.96087080906733,113.01331944508912,113.01331944508912,113.01331944508912,206.57827850704908
changjiangtun,187.61207335933344,113.02256002976401,113.02256002976401,113.02256002976401,208.30891501080356
changjiangtun,188.26327590959954,113.0318299363911,113.0318299363911,113.0318299363911,210.05107970637874
changjiangtun,188.91447845986565,113.04112915610658,113.04112915610658,113.04112915610658,211.8048091112139
changjiangtun,189.56568101013175,113.05045768007989,113.05045768007989,113.05045768007989,213.57013973173278
changjiangtun,190.2168835603979,113.05981549951355,113.05981549951355,113.05981549951355,215.34710806338447
changjiangtun,190.868086110664,113.06920260564281,113.06920260564281,113.06920260564281,217.13575059066991
changjiangtun,191.5192886609301,113.07861898973556,113.07861898973556,113.07861898973556,218.9361037872028
changjiangtun,192.1704912111962,113.08806464309198,113.08806464309198,113.08806464309198,220.7482041157399
changjiangtun,192.8216937614623,113.09753955704434,113.09753955704434,113.09753955704434,222.5720880282134
changjiangtun,193.47289631172845,113.10704372295682,113.10704372295682,113.10704372295682,224.40779196578688
changjiangtun,194.12409886199453,113.11657713222522,113.11657713222522,113.11657713222522,226.25535235888344
changjiangtun,194.77530141226066,113.12613977627679,113.12613977627679,113.12613977627679,228.11480562722934
changjiangtun,195.42650396252677,113.13573164657,113.13573164657,113.13573164657,229.98618817989438
changjiangtun,196.07770651279287,113.14535273459428,113.14535273459428,113.14535273459428,231.86953641532585
