stationid,date,width,area_hypso,qobs,Q_est,kge,nse,nrmse
changjiangtun,2001-05-26,175.65757910073174,178.33897398746524,75.6,93.73450576636824,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2001-06-03,179.78267258381177,188.2550123532301,97.0,101.00572925794933,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2001-08-30,194.72598803444075,227.97399548832104,124.0,131.76292388687602,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2001-09-07,202.55850824322,251.27299576937762,37.0,150.94185593874428,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2001-10-09,169.57017077691427,164.49706604948955,26.8,83.87469201317624,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2002-06-30,187.7485961557835,208.67415497495804,311.5,116.50117079194914,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2002-09-18,208.417010244289,269.8658844945901,644.0,166.8110637718665,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2003-04-30,196.8489812576465,234.11658121879856,192.0,136.74091798328732,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2003-05-08,195.84782388585649,231.20469098494468,420.0,134.37409479508366,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2004-08-22,190.97538355206325,217.43239146150805,438.0,123.35472607325914,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2005-08-09,200.49665428459275,244.9695486960944,920.0,145.67411886004126,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2006-08-12,198.598938072394,239.27540567538253,727.0,140.96538127700586,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2007-07-14,184.83369892557525,201.0061013314951,317.0,110.60165188194408,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2008-04-11,201.1370579290333,246.9144657347325,82.4,147.2933516050978,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2008-05-13,194.17502623532124,226.4007711241231,370.0,130.49721325531758,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2008-08-17,186.55132451813077,205.49709509844814,390.0,114.0453467901678,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2008-10-20,199.77587470114528,242.79506296648472,26.1,143.87037474597193,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2009-09-21,184.8614710107025,201.0779574450902,279.0,110.65647247265615,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2009-10-07,178.986166817752,186.30665502157032,20.2,99.56375916732976,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2009-10-23,210.657217612975,277.2467568014347,287.0,173.24480135128775,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2010-09-08,197.267910252408,235.3436348490629,192.0,137.74212592272855,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2011-07-25,201.55735087143,248.19772277205863,459.0,148.36480018244094,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2011-08-26,185.92216759753973,203.8429661251942,133.0,112.77316015090432,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2013-07-14,202.348724597692,250.6270873826652,987.0,150.39959973740713,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2014-04-12,205.47180545421296,260.39331816072524,604.0,158.6652734650248,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2014-04-28,202.52810392820373,251.17938312377876,707.0,150.86324127192125,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2014-05-30,199.65963465923124,242.44593256449278,781.0,143.58144035773208,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2014-09-19,172.72488845710274,171.55334803245782,78.0,88.85782921493956,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2014-10-05,188.88095765045875,211.71453546424073,24.5,118.86645903695944,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2015-04-15,184.8614710107025,201.0779574450902,289.0,110.65647247265615,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2015-06-18,195.84782388585649,231.20469098494468,669.0,134.37409479508366,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2015-07-04,186.1015469280515,204.3133639115432,455.0,113.134471218041,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2015-08-05,170.7838790704475,167.18217512022414,65.9,85.76018042992627,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2015-09-06,196.145189417494,232.06594802954197,684.0,135.07269788421135,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2016-05-19,191.7675752354048,219.62701045363568,830.0,125.09111060563103,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2016-06-04,195.84782388585649,231.20469098494468,712.0,134.37409479508366,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2016-07-06,192.828271822242,222.5906312173792,771.0,127.44749741785073,-0.253312672254171,-0.8347557953907385,0.9660973285654565
changjiangtun,2016-08-23,197.19117473130424,235.11887456529644,257.0,137.5586242986537,-0.253312672254171,-0.8347557953907385,0.9660973285654565
