,node_id,lat,lon,time,wse,wse_u,width,width_u,STCD
0,42242100050571,45.98978695,129.5906746,768567108.689,112.85925,0.18405,74.608628,3.257723,11100120.0
1,42242100050581,45.98800349,129.5910447,768567108.693,112.79243,0.09486,170.770208,6.316671,11100120.0
2,42242100050591,45.98682503,129.5919423,768567108.697,112.68673,0.0929,212.582196,6.919367,11100120.0
3,42243100090651,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,11022450.0
4,42243100090661,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,11022450.0
5,42243200030021,45.80721531,128.7226414,768567108.732,109.72,0.1185,48.908723,3.418323,11021670.0
6,42243200030031,45.80660083,128.7210757,768567108.734,109.7389,0.19441,82.430354,1.313041,11021670.0
7,42257000070041,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400241.0
8,42257000070051,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400241.0
9,42257000070061,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400241.0
10,42258000020291,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400171.0
11,42258000020301,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400171.0
12,42258000020311,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400171.0
13,42272100010491,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400070.0
14,42272100010501,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400070.0
0,42249800140261,49.24794694,125.0786605,768653471.356,222.90221,0.11008,234.970891,8.141263,11200260.0
1,42249800140271,49.25053451,125.0798922,768653471.353,222.89667,0.62109,145.213349,4.02647,11200260.0
2,42249800140281,49.25144177,125.0803505,768653471.349,223.12619,0.11169,342.351376,6.680924,11200260.0
3,42249900340171,50.04802031,125.3190205,768653460.83,271.14722,0.09676,111.408002,8.037871,11200020.0
4,42249900340181,50.04892712,125.3211428,768653460.829,271.27227,0.09504,115.390842,5.906719,11200020.0
5,42249900340191,50.05012937,125.3232096,768653460.827,271.37082,0.09388,116.908334,8.111874,11200020.0
0,43210800030551,34.72261661,112.9315645,769258757.191,109.70728,0.11127,369.327833,20.709724,41657600.0
1,43210800030561,34.7207901,112.9302671,769258757.194,109.7008,0.14799,612.708277,25.735226,41657600.0
2,43210800030571,34.72004631,112.9291037,769258757.198,109.1665,0.15077,581.97487,22.28388,41657600.0
3,43210800180074,34.55862807,112.4725987,769258757.394,148.56152,0.42012,-999999999999.0,-999999999999.0,41654600.0
4,43210800190011,34.55596406,112.472164,769258757.398,151.25638,0.27741,143.814237,2.069513,41654600.0
5,43210800190021,34.55449249,112.4718612,769258757.402,151.8699,0.2856,139.005479,0.873514,41654600.0
6,43210800500024,34.71006842,112.6055527,769258757.083,118.50501,0.10871,201.50455,6.453051,41643400.0
7,43210800510011,34.70996787,112.603544,769258757.082,118.97492,0.09442,316.490843,8.602469,41643400.0
8,43210800510021,34.71006846,112.6012663,769258757.081,118.9271,0.09368,306.7137,8.563351,41643400.0
9,43210800030551,34.72215385,112.9314766,769219842.813,109.77451,0.19602,69.799963,1.940038,41657600.0
10,43210800030561,34.72077133,112.9304891,769219842.809,109.89985,0.13226,109.572429,2.918408,41657600.0
11,43210800030571,34.71909284,112.9296943,769219842.804,109.86152,0.12692,88.034575,2.74425,41657600.0
0,42243100090651,45.9673524,128.750872,753508120.663,100.69057,0.09291,1003.288901,7.548269,11022450.0
1,42243100090661,45.96583053,128.7484358,753508120.659,100.64762,0.09263,1001.245473,7.645852,11022450.0
2,42243200030021,45.80765956,128.7221004,753508111.697,109.49059,0.42033,22.901262,0.239181,11021670.0
3,42243200030031,45.80580143,128.7211129,753508111.693,110.93864,0.15005,125.831435,3.699345,11021670.0
4,42257000070041,49.36822216,128.9391874,753508171.755,108.20808,0.1596,84.302007,3.576103,10400241.0
5,42257000070051,49.36691466,128.9375119,753508171.751,109.20829,0.20141,129.845787,3.637608,10400241.0
6,42257000070061,49.36497142,128.9369994,753508171.746,108.80418,0.19806,91.49808,2.883727,10400241.0
7,42258000020291,49.36412276,128.9303646,753508171.741,108.13265,0.14223,107.047934,2.620922,10400171.0
8,42258000020301,49.36241777,128.9300478,753508171.737,107.97346,0.12656,142.877894,3.776927,10400171.0
9,42258000020311,49.36091729,128.9289385,753508171.732,108.07408,0.1307,131.147213,3.057818,10400171.0
10,42440400830891,41.74173252,125.9524667,753508040.682,372.76075,0.10619,250.198207,4.738588,11605400.0
11,42440400830901,41.74268851,125.9544446,753508040.685,373.02165,0.13664,253.921636,4.721333,11605400.0
12,42440400830911,41.74377388,125.9562622,753508040.689,372.96693,0.12799,180.191797,4.404318,11605400.0
13,42460000040281,41.18261215,122.7162181,753546705.682,3.21394,0.09688,109.871777,5.707645,21110800.0
14,42460000040291,41.18413158,122.7176786,753546705.679,3.23035,0.09393,137.269607,6.263094,21110800.0
15,42460000040301,41.18575299,122.7188461,753546705.676,3.29636,0.09522,152.382351,6.693207,21110800.0
16,42460000150161,41.26262821,122.6796604,753546705.473,3.5935,0.10074,87.00314,3.401258,21101000.0
17,42460000150171,41.26342333,122.6812547,753546705.472,3.39387,0.10249,78.957738,4.306948,21101000.0
