node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,index_right,stationid,COMID,date
43120100180183,43120100183,746556492.952,39.73024967,118.759516,20.54453,0.0951,326.331954,20.604603,16392,1,0,0.09748942216,137.0,1,1,0,7689.79688,0.03072,212.99621047,SWOT_L2_HR_RiverSP_Node_002_493_AS_20230828T164305_20230828T164838_PGD0_01.zip,15,luanxian,43004870,2023-08-28
43120100180193,43120100183,746556492.98,39.73183152,118.759581,20.58878,0.09597,256.515176,22.485068,802817,2,0,0.03610944382,107.0,1,1,0,7591.94482,0.03332,183.52129303,SWOT_L2_HR_RiverSP_Node_002_493_AS_20230828T164305_20230828T164838_PGD0_01.zip,15,luanxian,43004870,2023-08-28
43120100180203,43120100183,746556493.011,39.73395142,118.7594409,20.52021,0.09665,154.757372,14.135814,802817,2,0,0.0,78.0,1,1,0,7554.28223,0.03523,214.7132664,SWOT_L2_HR_RiverSP_Node_002_493_AS_20230828T164305_20230828T164838_PGD0_01.zip,15,luanxian,43004870,2023-08-28
43428400030521,43428400031,747500930.899,32.30356041,115.746291,25.17736,0.0995,226.211269,7.133811,0,0,0,0.04039155299,171.0,2,2,0,26153.76562,0.04244,213.76200273,SWOT_L2_HR_RiverSP_Node_003_215_AS_20230908T150546_20230908T151141_PGD0_01.zip,6,jiangjiaji,43044098,2023-09-08
43428400030531,43428400031,747500930.884,32.30242519,115.7449335,25.42474,0.13249,183.300765,7.125084,262145,2,0,0.02914713258,166.5,2,2,0,26023.20703,0.09722,184.13540818,SWOT_L2_HR_RiverSP_Node_003_215_AS_20230908T150546_20230908T151141_PGD0_01.zip,6,jiangjiaji,43044098,2023-09-08
43428400030541,43428400031,747500930.862,32.30105881,115.7430537,25.32852,0.09796,108.485966,6.254041,262147,2,0,0.0,185.0,2,2,0,25885.14844,0.03869,201.93611162,SWOT_L2_HR_RiverSP_Node_003_215_AS_20230908T150546_20230908T151141_PGD0_01.zip,6,jiangjiaji,43044098,2023-09-08
43428700020014,43428700024,747500932.175,32.43459456,115.415212,22.14897,0.12476,220.363569,16.548855,9193475,3,0,0.0,155.5,1,1,0,-7356.00635,0.08639,160.81637904,SWOT_L2_HR_RiverSP_Node_003_215_AS_20230908T150546_20230908T151141_PGD0_01.zip,7,huaibin,43044183,2023-09-08
43428700020024,43428700024,747500932.172,32.43454517,115.4133183,21.70344,0.10139,181.741632,8.861371,9191425,3,0,0.0,80.0,1,1,0,-7482.67529,0.04668,215.83754013,SWOT_L2_HR_RiverSP_Node_003_215_AS_20230908T150546_20230908T151141_PGD0_01.zip,7,huaibin,43044183,2023-09-08
43120100180183,43120100183,747366928.559,39.73001734,118.7606786,6.14263,0.11914,449.612297,9.573045,8388622,3,0,0.0,137.0,1,1,0,21637.2793,0.07807,212.99621047,SWOT_L2_HR_RiverSP_Node_003_172_AS_20230907T015502_20230907T015850_PGD0_01.zip,15,luanxian,43004870,2023-09-07
43120100180193,43120100183,747366928.526,39.73185529,118.7609351,7.42081,0.09744,726.715233,12.614638,8388622,3,0,0.0,107.0,1,1,0,21589.67578,0.03733,183.52129303,SWOT_L2_HR_RiverSP_Node_003_172_AS_20230907T015502_20230907T015850_PGD0_01.zip,15,luanxian,43004870,2023-09-07
43210800030561,43210800031,747587402.058,34.72065483,112.9304359,109.10892,0.17804,93.263284,3.483703,0,0,0,0.10714899513,101.0,1,1,0,-58867.03125,0.15362,196.54360743,SWOT_L2_HR_RiverSP_Node_003_243_AS_20230909T150316_20230909T151215_PGD0_01.zip,5,heishiguan,43027816,2023-09-09
43210800030571,43210800031,747587402.027,34.71890769,112.9296005,108.59076,0.16731,79.074373,2.874738,1,1,0,0.19963730752,108.0,1,1,0,-58913.19531,0.14104,221.02968111,SWOT_L2_HR_RiverSP_Node_003_243_AS_20230909T150316_20230909T151215_PGD0_01.zip,5,heishiguan,43027816,2023-09-09
43428400030521,43428400031,747539922.309,32.30300218,115.7464433,25.17842,0.09357,156.672042,7.583666,0,0,0,0.03990602766,171.0,2,2,0,28780.14648,0.02561,213.76200273,SWOT_L2_HR_RiverSP_Node_003_228_AS_20230909T015553_20230909T020111_PGD0_01.zip,6,jiangjiaji,43044098,2023-09-09
43428400030531,43428400031,747539922.326,32.30175533,115.7451564,25.27913,0.09329,197.764397,9.608479,0,0,0,0.0,166.5,2,2,0,28908.08984,0.02454,184.13540818,SWOT_L2_HR_RiverSP_Node_003_228_AS_20230909T015553_20230909T020111_PGD0_01.zip,6,jiangjiaji,43044098,2023-09-09
43428400030541,43428400031,747539922.332,32.30097637,115.7432947,25.27426,0.0973,118.50766,6.055195,0,0,0,0.05506790048,185.0,2,2,0,29135.02539,0.03698,201.93611162,SWOT_L2_HR_RiverSP_Node_003_228_AS_20230909T015553_20230909T020111_PGD0_01.zip,6,jiangjiaji,43044098,2023-09-09
43428700010821,43428700011,747539919.081,32.43565027,115.4169444,21.58228,0.10419,150.688892,3.816333,8388608,3,0,0.24494184405,122.0,1,1,0,56248.5,0.05248,229.15779104,SWOT_L2_HR_RiverSP_Node_003_228_AS_20230909T015553_20230909T020111_PGD0_01.zip,7,huaibin,43044183,2023-09-09
43428700020014,43428700024,747539919.096,32.43476819,115.4153135,21.77159,0.10166,206.481661,6.290937,8388608,3,0,0.03437526468,155.5,1,1,0,56407.5625,0.04728,160.81637904,SWOT_L2_HR_RiverSP_Node_003_228_AS_20230909T015553_20230909T020111_PGD0_01.zip,7,huaibin,43044183,2023-09-09
43428700020024,43428700024,747539919.086,32.43467491,115.4132965,23.38291,0.10471,171.960191,5.303325,8388608,3,0,0.0,80.0,1,1,0,56546.82422,0.05353,215.83754013,SWOT_L2_HR_RiverSP_Node_003_228_AS_20230909T015553_20230909T020111_PGD0_01.zip,7,huaibin,43044183,2023-09-09
