date,stationid,node_id,reach_id,COMID,wse,wse_u,width,width_u
2023-08-02,lianhua,42243200030021,42243200031,42045708,112.46861,0.09349,666.959274,9.113552
2023-08-02,lianhua,42243200030031,42243200031,42045708,112.62095,0.09924,241.675946,6.528788
2023-08-02,tonghe,42243100090651,42243100091,42045560,103.82363,0.09425,1163.740412,10.624873
2023-08-02,tonghe,42243100090661,42243100091,42045560,103.80938,0.09528,1097.452572,9.406146
2023-08-03,jiamusi,42241500050101,42241500051,42037498,77.85152,0.09193,1041.95064,9.773946
2023-08-03,jiamusi,42241500050111,42241500051,42037498,77.84683,0.0919,1191.411926,11.187274
2023-08-04,kuerbin,42257000080041,42257000081,42026066,108.894,0.14592,85.782854,3.847776
2023-08-04,kuerbin,42257000080051,42257000081,42026066,109.60071,0.14853,59.330265,3.596705
2023-08-04,kuerbin,42257000080061,42257000081,42026066,109.4123,0.2078,41.791896,2.628474
2023-08-04,lianhua,42243200030021,42243200031,42045708,113.53835,0.09159,936.683587,13.174401
2023-08-04,lianhua,42243200030031,42243200031,42045708,113.84618,0.09217,562.745983,11.215248
2023-08-04,shuanghetun,42258000020291,42258000021,42025887,108.68396,0.14429,83.482343,2.468896
2023-08-04,shuanghetun,42258000020301,42258000021,42025887,108.90397,0.13164,103.300904,3.0757
2023-08-04,shuanghetun,42258000020311,42258000021,42025887,108.91013,0.12726,99.252245,3.571131
2023-08-04,tieling,42481500090731,42481500091,42059330,54.89588,0.09949,110.426126,5.652288
2023-08-04,tieling,42481500090751,42481500091,42059330,55.07968,0.10157,125.379939,5.111805
2023-08-04,tonghe,42243100090651,42243100091,42045560,103.81204,0.09224,1266.000239,11.389858
2023-08-04,tonghe,42243100090661,42243100091,42045560,103.82285,0.09252,1233.133023,11.744421
2023-08-04,tonghua,42440400440901,42440400441,42060702,373.23286,0.12174,202.993673,4.538185
2023-08-05,tangmazhai,42460001470281,42460001471,42061735,3.25514,0.0995,119.830167,6.21304
2023-08-05,tangmazhai,42460001470291,42460001471,42061735,3.26188,0.09538,112.418611,5.687843
2023-08-05,tangmazhai,42460001470301,42460001471,42061735,3.37715,0.09886,164.45455,7.312442
2023-08-05,xingjiawopeng,42460000140161,42460000141,42061756,3.77889,0.09613,127.051011,7.448361
2023-08-05,xingjiawopeng,42460000140171,42460000141,42061756,3.86845,0.097,104.473613,6.042118
2023-08-05,xingjiawopeng,42460000140181,42460000141,42061756,3.83479,0.09912,93.358261,6.341695
2023-08-06,liujiatun,42249800030261,42249800031,42025877,222.82189,0.09769,163.856355,6.359943
2023-08-06,liujiatun,42249800030281,42249800031,42025877,223.10974,0.11232,145.576773,5.823189
2023-08-06,shihuiyao,42249900150171,42249900151,42020496,270.97532,0.09418,158.384187,9.295494
2023-08-06,shihuiyao,42249900150181,42249900151,42020496,271.1021,0.10066,117.381374,6.693317
2023-08-06,shihuiyao,42249900150191,42249900151,42020496,271.24049,0.09893,116.62956,7.336186
2023-08-10,longmenzhen,43210800200011,43210800201,43027970,149.95085,0.12388,136.452819,5.710736
2023-08-10,longmenzhen,43210800200021,43210800201,43027970,149.13551,0.11641,105.197349,4.066133
2023-08-31,longmenzhen,43210800200011,43210800201,43027970,148.29279,0.12578,247.023522,6.448701
2023-08-31,longmenzhen,43210800200021,43210800201,43027970,148.24165,0.138,131.745153,4.120639
2023-09-08,jiangjiaji,43428400030521,43428400031,43044098,25.17736,0.0995,226.211269,7.133811
2023-09-09,heishiguan,43210800030561,43210800031,43027816,109.10892,0.17804,93.263284,3.483703
2023-09-09,heishiguan,43210800030571,43210800031,43027816,108.59076,0.16731,79.074373,2.874738
2023-09-09,jiangjiaji,43428400030521,43428400031,43044098,25.17842,0.09357,156.672042,7.583666
2023-09-09,jiangjiaji,43428400030531,43428400031,43044098,25.27913,0.09329,197.764397,9.608479
2023-09-09,jiangjiaji,43428400030541,43428400031,43044098,25.27426,0.0973,118.50766,6.055195
2023-09-10,baimasi,43210800530011,43210800531,43030084,113.07192,0.09544,229.534942,9.814724
2023-09-10,baimasi,43210800530021,43210800531,43030084,113.06551,0.09518,197.519747,7.375058
2023-09-10,longmenzhen,43210800200011,43210800201,43027970,149.45785,0.14813,156.249018,5.825768
2023-09-10,longmenzhen,43210800200021,43210800201,43027970,149.34922,0.10648,134.147886,4.435199
2023-09-15,kuerbin,42257000080041,42257000081,42026066,108.44611,0.14059,86.941614,3.2445
2023-09-15,lianhua,42243200030021,42243200031,42045708,110.07193,0.09405,176.203271,5.808322
2023-09-15,lianhua,42243200030031,42243200031,42045708,110.20716,0.09521,169.668566,6.242465
2023-09-15,tieling,42481500090731,42481500091,42059330,52.86363,0.09895,91.23965,4.835286
2023-09-15,tieling,42481500090741,42481500091,42059330,52.97134,0.09896,101.786476,4.944737
2023-09-15,tieling,42481500090751,42481500091,42059330,52.98408,0.10178,100.076222,5.262951
2023-09-15,tonghua,42440400440891,42440400441,42060702,372.97898,0.13431,258.722221,4.903206
2023-09-15,tonghua,42440400440901,42440400441,42060702,372.76098,0.11906,184.021239,4.608054
2023-09-16,tangmazhai,42460001470281,42460001471,42061735,3.46068,0.09604,110.398742,6.007524
2023-09-16,tangmazhai,42460001470301,42460001471,42061735,3.45628,0.09661,151.417847,7.129021
2023-09-16,tieling,42481500090751,42481500091,42059330,53.09052,0.1118,87.252754,3.956235
2023-09-16,xingjiawopeng,42460000140161,42460000141,42061756,3.34259,0.10811,95.699458,3.274523
2023-09-17,humaqiao,42272100010491,42272100011,42012937,170.16731,0.10055,268.479925,5.41268
2023-09-17,humaqiao,42272100010501,42272100011,42012937,170.33576,0.10327,235.199944,5.165411
2023-09-17,liujiatun,42249800030261,42249800031,42025877,223.20202,0.09609,201.391656,6.730136
2023-09-17,shihuiyao,42249900150171,42249900151,42020496,271.39525,0.09658,164.461967,8.75888
2023-09-17,shihuiyao,42249900150181,42249900151,42020496,271.60972,0.09406,182.011226,9.009419
2023-09-17,shihuiyao,42249900150191,42249900151,42020496,271.56316,0.09226,188.075324,9.282469
2023-09-20,baimasi,43210800530011,43210800531,43030084,113.72546,0.10233,266.996414,10.772056
2023-09-20,baimasi,43210800530021,43210800531,43030084,113.65831,0.10063,108.780002,7.781571
2023-09-30,baimasi,43210800530011,43210800531,43030084,113.59979,0.18932,16.613105,2.843188
2023-09-30,baimasi,43210800530021,43210800531,43030084,113.39501,0.15311,23.376691,2.41761
2023-09-30,longmenzhen,43210800200011,43210800201,43027970,148.98333,0.17548,119.955657,5.502709
2023-09-30,longmenzhen,43210800200021,43210800201,43027970,148.94345,0.21897,13.675428,1.653633
2023-10-05,jiamusi,42241500050101,42241500051,42037498,75.00521,0.0921,996.568118,9.639733
2023-10-05,jiamusi,42241500050111,42241500051,42037498,75.04492,0.09192,1105.884598,11.321279
2023-10-05,tieling,42481500090731,42481500091,42059330,54.16041,0.29716,11.090251,0.916512
2023-10-05,tieling,42481500090741,42481500091,42059330,52.64549,0.11158,62.348715,3.253629
2023-10-06,kuerbin,42257000080041,42257000081,42026066,109.3478,0.14701,77.480233,3.489437
2023-10-06,kuerbin,42257000080051,42257000081,42026066,109.86963,0.23192,59.03644,2.760054
2023-10-06,kuerbin,42257000080061,42257000081,42026066,109.49543,0.16992,70.832648,3.527686
2023-10-06,lianhua,42243200030021,42243200031,42045708,109.69269,0.09319,168.727774,6.658694
2023-10-06,lianhua,42243200030031,42243200031,42045708,109.98332,0.09827,156.101335,5.360021
2023-10-06,tonghe,42243100090651,42243100091,42045560,101.50361,0.09158,1097.259395,8.302375
2023-10-06,tonghe,42243100090661,42243100091,42045560,101.46627,0.09114,1119.819433,8.598538
2023-10-07,tieling,42481500090741,42481500091,42059330,52.86396,0.11673,69.769161,3.079915
2023-10-07,tieling,42481500090751,42481500091,42059330,52.60315,0.10201,108.77445,4.318477
2023-10-08,humaqiao,42272100010481,42272100011,42012937,170.57579,0.0959,258.462029,4.988023
2023-10-08,liujiatun,42249800030261,42249800031,42025877,223.05335,0.09576,157.367034,6.126969
2023-10-08,shihuiyao,42249900150171,42249900151,42020496,271.49963,0.09512,230.857758,10.630247
2023-10-08,shihuiyao,42249900150181,42249900151,42020496,271.58758,0.09374,154.742413,8.870328
2023-10-08,shihuiyao,42249900150191,42249900151,42020496,271.63993,0.09218,189.352759,9.868663
2023-10-11,baimasi,43210800530011,43210800531,43030084,113.12089,0.09444,290.738476,10.95779
2023-10-11,baimasi,43210800530021,43210800531,43030084,113.06487,0.09301,257.685834,9.444204
2023-10-11,heishiguan,43210800030551,43210800031,43027816,109.41618,0.23681,72.099973,2.613688
2023-10-11,longmenzhen,43210800200011,43210800201,43027970,148.95984,0.11616,254.149689,6.353903
2023-10-11,longmenzhen,43210800200021,43210800201,43027970,148.64015,0.12771,147.344052,4.214249
2023-10-13,changjiangtun,42242100060571,42242100061,42043227,113.88517,0.0942,271.768094,9.669395
2023-10-13,changjiangtun,42242100060581,42242100061,42043227,113.90217,0.09418,211.303419,7.477646
2023-10-13,changjiangtun,42242100060591,42242100061,42043227,113.87498,0.09447,239.897859,8.756398
2023-10-13,lianhua,42243200030021,42243200031,42045708,109.71309,0.09502,167.772469,6.204086
2023-10-13,lianhua,42243200030031,42243200031,42045708,109.88056,0.09632,161.356188,5.598713
2023-10-13,tonghe,42243100090651,42243100091,42045560,101.51178,0.09108,1078.795469,10.752717
2023-10-13,tonghe,42243100090661,42243100091,42045560,101.53596,0.09099,1066.057203,10.513326
