stationid,width,wse,wse_max,wse_min,area
changjiangtun,146.91191396770154,111.98993098896231,112.07451809011425,111.94845727767137,66.67566186297182
changjiangtun,147.78018403472302,112.00379793966087,112.08871994856477,111.96154416428098,68.71890226009872
changjiangtun,148.6484541017445,112.01778061213602,112.10300065319309,111.9747736681661,70.79133453975743
changjiangtun,149.516724168766,112.03187928769857,112.11736017735556,111.98814649686481,72.89320159600041
changjiangtun,150.38499423578745,112.0460942466988,112.13179849457265,112.00166335727397,75.02474691160968
changjiangtun,151.25326430280893,112.06042576853527,112.14631557852694,112.01532495565338,77.18621455608967
changjiangtun,152.1215343698304,112.07487413166359,112.16091140306126,112.0291319976302,79.37784918369185
changjiangtun,152.9898044368519,112.08943961360491,112.17558594217678,112.04308518820304,81.59989603143191
changjiangtun,153.85807450387338,112.10412249095442,112.19033917003115,112.0571852317461,83.85260091715458
changjiangtun,154.72634457089487,112.11892303938964,112.20517106093669,112.07143283201331,86.13621023758948
changjiangtun,155.59461463791635,112.13384153367862,112.2200815893586,112.08582869214236,88.45097096644282
changjiangtun,156.46288470493784,112.14887824768805,112.23507072991316,112.10037351465864,90.7971306525004
changjiangtun,157.3311547719593,112.16403345439116,112.25013845736606,112.11506800147927,93.17493741773905
changjiangtun,158.19942483898078,112.1793074258756,112.2652847466307,112.12991285391693,95.58463995546335
changjiangtun,159.06769490600226,112.19470043335126,112.2805095727664,112.14490877268376,98.02648752846984
changjiangtun,159.93596497302374,112.2102127471577,112.29581291097698,112.16005645789511,100.50072996719295
changjiangtun,160.80423504004523,112.22584463677188,112.31119473660885,112.17535660907338,103.00761766791075
changjiangtun,161.6725051070667,112.24159637081544,112.32665502514973,112.19080992515165,105.5474015909268
changjiangtun,162.5407751740882,112.25746821706208,112.34219375222685,112.20641710447744,108.12033325879737
changjiangtun,163.40904524110965,112.27346044244473,112.35781089360549,112.22217884481626,110.72666475455388
changjiangtun,164.27731530813114,112.28957331306265,112.37350642518751,112.23809584335525,113.3666487199469
changjiangtun,165.14558537515262,112.30580709418848,112.38928032300983,112.25416879670674,116.04053835371178
changjiangtun,166.0138554421741,112.32216205027517,112.4051325632429,112.2703984009117,118.74858740984136
changjiangtun,166.8821255091956,112.33863844496274,112.42106312218941,112.28678535144329,121.49105019587203
changjiangtun,167.75039557621707,112.35523654108506,112.4370719762827,112.30333034321019,124.26818157118745
changjiangtun,168.61866564323856,112.37195660067647,112.45315910208546,112.3200340705601,127.08023694533487
changjiangtun,169.48693571026,112.38879888497834,112.4693244762884,112.33689722728299,129.9274722763606
changjiangtun,170.3552057772815,112.40576365444555,112.48556807570877,112.35392050661453,132.8101440691498
changjiangtun,171.22347584430298,112.42285116875281,112.50188987728912,112.37110460123922,135.72850937378232
changjiangtun,172.09174591132447,112.44006168680106,112.51828985809595,112.3884502032938,138.6828257839135
changjiangtun,172.96001597834595,112.45739546672354,112.5347679953185,112.40595800437032,141.67335143514345
changjiangtun,173.82828604536743,112.47485276589207,112.55132426626734,112.42362869551941,144.70034500343013
changjiangtun,174.69655611238892,112.49243384092298,112.56795864837325,112.44146296725336,147.76406570348735
changjiangtun,175.5648261794104,112.51013894768319,112.58467111918588,112.45946150954921,150.86477328721375
changjiangtun,176.4330962464319,112.52796834129603,112.60146165637266,112.47762501185194,154.00272804213034
changjiangtun,177.30136631345334,112.54592227614707,112.61833023771749,112.49595416307734,157.17819078981356
changjiangtun,178.16963638047483,112.56400100588989,112.6352768411196,112.51444965161517,160.39142288437088
changjiangtun,179.0379064474963,112.58220478345181,112.65230144459245,112.53311216533201,163.64268621091148
changjiangtun,179.9061765145178,112.60053386103935,112.6694040262625,112.55194239157431,166.93224318401064
changjiangtun,180.77444658153928,112.6189884901439,112.68658456436812,112.57094101717122,170.26035674622915
changjiangtun,181.64271664856076,112.63756892154714,112.7038430372585,112.59010872843751,173.62729036660542
changjiangtun,182.51098671558225,112.65627540532641,112.72117942339254,112.60944621117646,177.03330803917646
changjiangtun,183.3792567826037,112.67510819086006,112.73859370133778,112.6289541506826,180.47867428150403
changjiangtun,184.2475268496252,112.69406752683273,112.75608584976932,112.64863323174457,183.96365413322127
changjiangtun,185.11579691664667,112.71315366124054,112.7736558474688,112.66848413864787,187.48851315458134
changjiangtun,185.98406698366816,112.73236684139623,112.79130367332336,112.68850755517755,191.05351742501543
changjiangtun,186.85233705068964,112.75170731393422,112.80902930632462,112.70870416462105,194.65893354171027
changjiangtun,187.72060711771113,112.77117532481563,112.82683272556768,112.72907464977071,198.30502861818658
changjiangtun,188.5888771847326,112.79077111933329,112.84471391025015,112.74961969292657,201.99207028290445
changjiangtun,189.45714725175407,112.81049494211649,112.86267283967112,112.77033997589892,205.72032667784487
changjiangtun,190.32541731877555,112.83034703713602,112.88070949323031,112.79123618001093,209.49006645715238
changjiangtun,191.19368738579703,112.85032764770877,112.898823850427,112.81230898610123,213.30155878573453
changjiangtun,192.06195745281852,112.87043701650254,112.91701589085915,112.83355907452646,217.15507333791118
changjiangtun,192.93022751984,112.8906753855407,112.93528559422253,112.8549871251638,221.05088029605483
changjiangtun,193.7984975868615,112.91104299620679,112.95363294030975,112.87659381741346,224.98925034923718
changjiangtun,194.66676765388297,112.93154008924907,112.97205790900935,112.89837983020116,228.970454691904
changjiangtun,195.53503772090443,112.95216690478509,112.99056048030498,112.92034584198063,232.9947650225477
changjiangtun,196.40330778792594,112.97292368230603,113.00914063427449,112.94249253073598,237.06245354237456
changjiangtun,197.2715778549474,112.99381066068122,113.02779835108906,112.96482057398411,241.1737929540132
changjiangtun,198.13984792196888,113.01482807816244,113.04653361101242,112.98733064877716,245.32905646021177
changjiangtun,199.00811798899036,113.03597617238817,113.06534639439994,113.01002343170481,249.52851776253408
changjiangtun,199.87638805601185,113.05725518038801,113.08423668169779,113.03289959889663,253.7724510601054
changjiangtun,200.74465812303333,113.07866533858667,113.10320445344225,113.05595982602446,258.06113104830894
changjiangtun,201.61292819005482,113.10020688280834,113.12224969025874,113.0792047883046,262.3948329175513
changjiangtun,202.4811982570763,113.1218800482806,113.1413723728612,113.10263516050014,266.77383235198084
changjiangtun,203.34946832409776,113.14368506963869,113.16057248205114,113.12625161692327,271.1984055282662
changjiangtun,204.21773839111924,113.16562218092939,113.17984999871699,113.15005483143742,275.66882911434135
changjiangtun,205.08600845814072,113.18769161561505,113.1992049038333,113.17404547745949,280.18538026818453
changjiangtun,205.9542785251622,113.20989360657751,113.21863717846,113.19822422796211,284.7483366365892
changjiangtun,206.8225485921837,113.23222838612202,113.23814680374159,113.22259175547575,289.3579763539629
changjiangtun,207.69081865920518,113.25469618598106,113.25773376090649,113.24714873209088,294.01457804111413
changjiangtun,208.55908872622666,113.27729723731818,113.27739803126632,113.2718958294601,298.7184208040588
changjiangtun,209.42735879324812,113.2971395962151,113.30003177073172,113.29683371880031,302.8653393569245
changjiangtun,210.2956288602696,113.32196307089471,113.32290001625856,113.31695843722865,308.07483083515757
changjiangtun,211.1638989272911,113.34590220337785,113.34728455609496,113.33685453586381,313.11951857115076
changjiangtun,212.03216899431257,113.36903856101455,113.3727988443232,113.3568278737578,318.0151263600908
changjiangtun,212.90043906133405,113.39230931754315,113.39850660507408,113.37687843262749,322.9593779916545
changjiangtun,213.76870912835554,113.4157147007912,113.4244085074168,113.39700619426885,327.9525554584032
changjiangtun,214.63697919537702,113.43925493804281,113.45050521999714,113.41721114055613,332.994941229943
changjiangtun,215.50524926239848,113.46293025604218,113.47679741103937,113.43749325344133,338.08681825179224
changjiangtun,216.37351932942,113.48674088099706,113.5032857483483,113.45785251495349,343.22846994424907
changjiangtun,217.24178939644145,113.51068703858216,113.5299708993112,113.47828890719803,348.4201802012799
changjiangtun,218.11005946346293,113.53476895394253,113.55685353089967,113.49880241235626,353.6622333893922
changjiangtun,218.97832953048442,113.55898685169694,113.58393430967173,113.51939301268455,358.95491434654014
changjiangtun,219.8465995975059,113.58334095594118,113.61121390177352,113.54006069051388,364.29850838101703
changjiangtun,220.71486966452738,113.60783149025133,113.63869297294131,113.56080542824918,369.6933012703622
changjiangtun,221.58313973154884,113.63245867768705,113.66637218850335,113.5816272083687,375.1395792602851
changjiangtun,222.45140979857035,113.65722274079475,113.6942522133817,113.60252601342349,380.6376290635657
changjiangtun,223.3196798655918,113.68212390161084,113.72233371209407,113.62350182603672,386.1877378590102
