stationid,date,node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,index_right,COMID,width_u_r
humaqiao,2023-10-08,42272100010481,42272100011,750075686.833,51.67091489,126.6115717,170.57579,0.0959,258.462029,4.988023,0,0,0,0.21861841921,127.0,1,1,0,51664.04688,0.03312,212.98450737,SWOT_L2_HR_RiverSP_Node_004_465_AS_20231008T101306_20231008T102252_PGD0_01.zip,8,42012937,0.019298861884273145
humaqiao,2023-10-18,42272100010481,42272100011,750933820.471,51.67098645,126.611599,170.17436,0.09217,269.978664,7.712614,8,1,0,0.16281851592,127.0,1,1,0,-28967.39062,0.01987,212.98450737,SWOT_L2_HR_RiverSP_Node_005_159_AS_20231018T083543_20231018T084509_PGD0_01.zip,8,42012937,0.028567494503936062
humaqiao,2023-11-08,42272100010481,42272100011,752736525.802,51.67095162,126.6118762,169.43923,0.0924,259.7225,7.264238,8,1,1,0.3100562346,127.0,1,1,0,-28586.91211,0.0209,212.98450737,SWOT_L2_HR_RiverSP_Node_006_159_AS_20231108T052049_20231108T053015_PGD0_01.zip,8,42012937,0.027969228696012087
humaqiao,2024-01-09,42272100010481,42272100011,758144640.723,51.67094909,126.6117012,169.77445,0.09867,255.160535,7.962605,8,1,2,0.34382238248,127.0,1,1,0,-29039.70312,0.04044,212.98450737,SWOT_L2_HR_RiverSP_Node_009_159_AS_20240109T193603_20240109T194530_PGD0_01.zip,8,42012937,0.031206256092855423
humaqiao,2024-01-20,42272100010481,42272100011,759089213.709,51.67101811,126.6107164,170.08593,0.11676,226.10961,4.480638,12,1,2,0.65740246251,127.0,1,1,0,52384.69531,0.07439,212.98450737,SWOT_L2_HR_RiverSP_Node_009_465_AS_20240120T175833_20240120T180818_PGD0_01.zip,8,42012937,0.019816220991226333
humaqiao,2024-01-30,42272100010481,42272100011,759947346.93,51.67106197,126.6115748,170.30197,0.09883,255.640591,9.021856,8,1,2,0.18131416737,127.0,1,1,0,-28790.7207,0.04084,212.98450737,SWOT_L2_HR_RiverSP_Node_010_159_AS_20240130T162110_20240130T163036_PGD0_01.zip,8,42012937,0.03529117173727704
humaqiao,2024-04-02,42272100010481,42272100011,765355458.993,51.6708926,126.6121988,169.70356,0.10735,198.061202,5.509992,0,0,1,0.46942833515,127.0,1,1,0,-28683.67578,0.05852,212.98450737,SWOT_L2_HR_RiverSP_Node_013_159_AS_20240402T063616_20240402T064548_PGD0_01.zip,8,42012937,0.027819643344384023
humaqiao,2024-05-04,42272100010481,42272100011,768102734.939,51.67093891,126.6119383,170.50662,0.09783,256.290514,4.521459,4,1,0,0.31902788619,127.0,1,1,1,52030.875,0.03834,212.98450737,SWOT_L2_HR_RiverSP_Node_014_465_AS_20240504T014354_20240504T015340_PGD0_01.zip,8,42012937,0.017641928799596543
humaqiao,2024-05-24,42272100010481,42272100011,769905439.833,51.67095106,126.6113307,169.15928,0.09749,245.762606,4.822657,524291,2,0,0.2240365113,127.0,1,1,2,51895.78516,0.03749,212.98450737,SWOT_L2_HR_RiverSP_Node_015_465_AS_20240524T222859_20240524T223845_PGD0_01.zip,8,42012937,0.01962323348735975
humaqiao,2025-05-03,42272100010481,42272100011,799606838.482,51.67097421,126.6111443,170.88424,0.09196,298.308091,8.302703,4,1,0,0.03529693296,127.0,1,1,1,-28802.44141,0.01889,212.97058926,SWOT_L2_HR_RiverSP_Node_032_159_AS_20250503T165251_20250503T170217_PIC2_01.zip,8,42012937,0.027832644338165135
humaqiao,2025-05-14,42272100010481,42272100011,800551420.407,51.6709742,126.6114064,170.8719,0.09534,259.983182,4.836265,0,0,0,0.16596482886,127.0,1,1,0,52212.81641,0.03146,212.98450737,SWOT_L2_HR_RiverSP_Node_032_465_AS_20250514T151520_20250514T152505_PID0_01.zip,8,42012937,0.018602222508377484
humaqiao,2025-05-24,42272100010481,42272100011,801409554.507,51.67098241,126.6110962,171.00387,0.09195,297.153499,8.656228,0,0,0,0.0,127.0,1,1,0,-28778.9082,0.01882,212.98450737,SWOT_L2_HR_RiverSP_Node_033_159_AS_20250524T133757_20250524T134723_PID0_01.zip,8,42012937,0.029130493260656507
humaqiao,2025-06-04,42272100010481,42272100011,802354126.768,51.67092898,126.6115971,170.30878,0.09742,260.111318,4.616877,0,0,0,0.25976223915,127.0,1,1,0,52268.73047,0.03729,212.98450737,SWOT_L2_HR_RiverSP_Node_033_465_AS_20250604T120026_20250604T121011_PID0_01.zip,8,42012937,0.01774961979931992
humaqiao,2025-06-14,42272100010481,42272100011,803212258.809,51.6708901,126.6115721,170.57923,0.10654,249.678532,7.068674,0,0,0,0.21610988942,127.0,1,1,0,-29234.08008,0.05702,212.98450737,SWOT_L2_HR_RiverSP_Node_034_159_AS_20250614T102301_20250614T103228_PID0_01.zip,8,42012937,0.02831110045135959
humaqiao,2025-06-25,42272100010481,42272100011,804156831.574,51.67095519,126.6114322,170.73882,0.09662,262.496658,4.94614,8,1,0,0.15554659055,127.0,1,1,0,52142.40625,0.03514,212.98450737,SWOT_L2_HR_RiverSP_Node_034_465_AS_20250625T084531_20250625T085516_PID0_01.zip,8,42012937,0.01884267798944701
humaqiao,2025-07-26,42272100010481,42272100011,806817670.407,51.67099311,126.611365,170.71199,0.09236,288.823152,7.997964,8,1,0,0.05839864842,127.0,1,1,0,-28758.47266,0.02073,212.98450737,SWOT_L2_HR_RiverSP_Node_036_159_AS_20250726T035313_20250726T040239_PID0_01.zip,8,42012937,0.027691561236060466
tonghe,2023-08-02,42243100090651,42243100091,744273821.907,45.96595807,128.7518241,103.82363,0.09425,1163.740412,10.624873,12,1,0,0.14269052947,799.0,2,2,0,-57382.91406,0.02798,201.96998018,SWOT_L2_HR_RiverSP_Node_001_338_AS_20230802T064038_20230802T064743_PGD0_01.zip,19,42045560,0.009129933867072752
tonghe,2023-08-04,42243100090651,42243100091,744494608.193,45.96503514,128.7524324,103.81204,0.09224,1266.000239,11.389858,8,1,0,0.00243095168,799.0,2,2,0,41842.95312,0.02021,201.96998018,SWOT_L2_HR_RiverSP_Node_001_409_AS_20230804T200058_20230804T200637_PGD0_01.zip,19,42045560,0.00899672657960691
tonghe,2023-10-06,42243100090651,42243100091,749902720.265,45.96349904,128.7534697,101.50361,0.09158,1097.259395,8.302375,12,1,0,0.38211247535,799.0,2,2,0,40722.35938,0.01696,201.96998018,SWOT_L2_HR_RiverSP_Node_004_409_AS_20231006T101610_20231006T102149_PGD0_01.zip,19,42045560,0.007566465174809462
tonghe,2023-10-13,42243100090651,42243100091,750540068.162,45.9649258,128.7525042,101.51178,0.09108,1078.795469,10.752717,8,1,0,0.11211882285,799.0,2,2,0,34834.58984,0.014,201.96998018,SWOT_L2_HR_RiverSP_Node_005_032_AS_20231013T191808_20231013T192500_PGD0_01.zip,19,42045560,0.009967336078976432
tonghe,2023-10-16,42243100090651,42243100091,750760854.308,45.96548485,128.7521466,101.41821,0.09333,1113.317696,9.903753,8,1,0,0.01126014115,799.0,2,2,0,-51030.38672,0.0247,201.96998018,SWOT_L2_HR_RiverSP_Node_005_103_AS_20231016T083805_20231016T084407_PGD0_01.zip,19,42045560,0.008895711471741485
tonghe,2023-10-24,42243100090651,42243100091,751484639.911,45.96629561,128.7516452,100.76991,0.09678,1064.486575,6.432017,13,1,0,0.45242527527,799.0,2,2,0,-57571.42969,0.03559,201.96998018,SWOT_L2_HR_RiverSP_Node_005_338_AS_20231024T174056_20231024T174801_PGD0_01.zip,19,42045560,0.0060423655413409045
tonghe,2023-10-27,42243100090651,42243100091,751705425.637,45.96579989,128.7520015,100.94998,0.09164,1108.469132,10.404942,0,0,0,0.08755278963,799.0,2,2,0,41352.04688,0.01725,201.96998018,SWOT_L2_HR_RiverSP_Node_005_409_AS_20231027T070116_20231027T070655_PGD0_01.zip,19,42045560,0.009386767479240912
tonghe,2023-11-03,42243100090651,42243100091,752342773.543,45.96535594,128.7515301,100.68298,0.09365,1058.582289,5.460454,10,1,0,0.74657126919,799.0,2,2,0,34615.84375,0.0259,201.96998018,SWOT_L2_HR_RiverSP_Node_006_032_AS_20231103T160313_20231103T161005_PGD0_01.zip,19,42045560,0.0051582706953828515
tonghe,2023-11-06,42243100090651,42243100091,752563559.725,45.96658207,128.7514143,100.43678,0.10003,1048.65422,8.818985,3,1,0,0.3091421338,799.0,2,2,0,-50517.17188,0.04367,201.96998018,SWOT_L2_HR_RiverSP_Node_006_103_AS_20231106T052310_20231106T052913_PGD0_01.zip,19,42045560,0.008409812149518647
tonghe,2023-11-14,42243100090651,42243100091,753287345.033,45.96467279,128.7533248,100.31425,0.17798,1048.895869,5.698826,13,1,1,0.92327257333,799.0,2,2,0,-57382.94531,0.15355,201.96998018,SWOT_L2_HR_RiverSP_Node_006_338_AS_20231114T142601_20231114T143306_PGD0_01.zip,19,42045560,0.0054331665977797846
tonghe,2023-11-24,42243100090651,42243100091,754145478.794,45.96738869,128.7507717,100.30918,0.09364,1003.278226,11.257567,12,1,1,0.50710699069,799.0,2,2,0,34840.59375,0.02586,201.96998018,SWOT_L2_HR_RiverSP_Node_007_032_AS_20231124T124819_20231124T125510_PGD0_01.zip,19,42045560,0.011220782738286996
